 Timestamp , Gazepoint X , Gazepoint Y , Pupil area (right) sq mm , Pupil area (left) sq mm , Eye event 
1,0.5394,0.4627,0.13,0.19, S 
1,0.5387,0.4393,0.14,0.18, S 
1,0.5377,0.4135,0.13,0.18, S 
1,0.5381,0.42,0.13,0.18, S 
1,0.5249,0.4202,0.13,0.19, S 
1,0.5112,0.3982,0.14,0.2, S 
1,0.5086,0.3812,0.15,0.19, S 
1,0.4946,0.3561,0.14,0.19, S 
1,0.4888,0.3482,0.14,0.18, S 
1,0.4561,0.3785,0.17,0.18, S 
1,0.3696,0.3268,0.15,0.18, S 
1,0.3677,0.2948,0.14,0.19, S 
1,0.359,0.2914,0.14,0.19, S 
1,0.3512,0.2902,0.14,0.19, S 
1,0.3493,0.2982,0.14,0.19, FB 
1,0.3502,0.2924,0.14,0.2, NA 
1,0.3442,0.2857,0.14,0.19, FEx0.350y0.295d0.035 
1,0.3444,0.2796,0.14,0.2, S 
1,0.3493,0.2745,0.14,0.2, FB 
1,0.3509,0.2787,0.14,0.2, FEx0.349y0.275d0.021 
1,0.3367,0.2825,0.15,0.2, S 
1,0.3254,0.2743,0.15,0.2, S 
1,0.3238,0.267,0.15,0.2, FB 
1,0.3256,0.2696,0.14,0.2, NA 
1,0.3257,0.2715,0.15,0.2, NA 
1,0.3311,0.2776,0.14,0.21, NA 
1,0.3393,0.2789,0.14,0.22, NA 
1,0.3434,0.2768,0.15,0.22, NA 
1,0.3418,0.2767,0.15,0.22, NA 
1,0.3441,0.2795,0.16,0.21, NA 
1,0.3474,0.2822,0.16,0.21, NA 
1,0.3473,0.2837,0.16,0.21, NA 
1,0.347,0.2828,0.16,0.21, NA 
1,0.3543,0.2895,0.16,0.22, NA 
1,0.361,0.2945,0.16,0.22, NA 
1,0.3663,0.3068,0.17,0.22, FEx0.340y0.279d0.255 
1,0.369,0.3104,0.17,0.22, FB 
1,0.4046,0.3531,0.15,0.23, FEx0.369y0.310d0.021 
