 Timestamp , Gazepoint X , Gazepoint Y , Pupil area (right) sq mm , Pupil area (left) sq mm , Eye event 
1,0.4731,0.4583,0.26,0.66, S 
1,0.4849,0.5039,0.26,0.69, S 
1,0.4877,0.4654,0.27,0.69, S 
1,0.5017,0.4769,0.28,0.71, S 
1,0.4878,0.4576,0.28,0.76, S 
1,0.5013,0.4972,0.3,0.76, S 
1,0.5062,0.4742,0.29,0.75, S 
1,0.5098,0.4541,0.28,0.76, S 
1,0.5224,0.4655,0.28,0.74, S 
1,0.5149,0.4573,0.29,0.79, S 
1,0.521,0.4944,0.29,0.78, S 
1,0.5109,0.4718,0.31,0.77, S 
2,0.5045,0.4622,0.26,0.74, S 
2,0.2871,0.3881,0.27,0.68, S 
2,0.2134,0.354,0.3,0.59, S 
2,0.2302,0.3603,0.25,0.6, S 
2,0.2263,0.3576,0.26,0.64, S 
2,0.5003,0.196,0.25,0.62, S 
2,0.5622,0.1827,0.24,0.64, BE 
3,0.4838,0.2499,0.25,0.65, S 
3,0.4435,0.349,0.26,0.7, S 
3,0.4295,0.3478,0.26,0.7, FB 
3,0.4468,0.3492,0.24,0.65, FEx0.429y0.348d0.080 
3,0.4438,0.3719,0.25,0.66, S 
3,0.4567,0.3913,0.25,0.66, S 
3,0.4589,0.3915,0.25,0.66, S 
3,0.4677,0.3103,0.24,0.67, S 
3,0.4718,0.31,0.23,0.62, S 
4,0.4708,0.3937,0.21,0.59, S 
4,0.5369,0.3565,0.2,0.57, S 
4,0.5085,0.3528,0.2,0.53, S 
4,0.5045,0.3257,0.19,0.52, S 
4,0.5005,0.3345,0.19,0.54, S 
4,0.5235,0.3488,0.2,0.54, S 
4,0.5189,0.3581,0.21,0.56, S 
4,0.4864,0.3193,0.2,0.57, S 
4,0.487,0.3004,0.2,0.57, S 
4,0.4706,0.2079,0.19,0.53, S 
4,0.4651,0.1083,0.19,0.51, S 
4,0.4709,0.1482,0.2,0.52, S 
5,0.4731,0.1527,0.21,0.49, S 
5,0.2022,0.2608,0.23,0.47, S 
5,0.33,0.5224,0.28,0.78, BE 
5,0.6677,0.6615,0.25,0.67, S 
5,0.7224,0.4835,0.27,0.67, S 
6,0.6985,0.414,0.26,0.67, S 
6,0.6485,0.4392,0.24,0.64, S 
6,0.6253,0.4587,0.25,0.62, S 
6,0.6772,0.5314,0.24,0.57, S 
6,0.6097,0.496,0.23,0.63, S 
6,0.5685,0.4852,0.23,0.56, S 
6,0.4698,0.4309,0.22,0.55, S 
6,0.4862,0.4054,0.24,0.63, S 
6,0.4902,0.425,0.25,0.64, S 
6,0.4618,0.4451,0.27,0.71, S 
7,0.4676,0.4864,0.28,0.77, S 
7,0.4777,0.529,0.28,0.77, S 
7,0.4629,0.5,0.29,0.8, S 
7,0.4768,0.4888,0.29,0.79, S 
7,0.4964,0.4653,0.29,0.78, S 
7,0.5099,0.3666,0.28,0.76, S 
7,0.4923,0.2339,0.26,0.68, S 
7,0.4943,0.2573,0.26,0.69, S 
7,0.5062,0.2653,0.25,0.7, S 
7,0.4998,0.2697,0.25,0.64, S 
8,0.4973,0.2734,0.21,0.57, S 
8,0.4963,0.3182,0.21,0.57, S 
8,0.5042,0.3505,0.22,0.55, S 
8,0.5038,0.3186,0.21,0.53, S 
8,0.4473,0.3572,0.2,0.51, S 
8,0.4122,0.3972,0.2,0.52, S 
8,0.4282,0.3556,0.19,0.51, S 
8,0.4289,0.3423,0.18,0.49, S 
8,0.4409,0.2191,0.17,0.48, S 
9,0.4564,0.1672,0.17,0.48, S 
9,0.4464,0.0875,0.18,0.47, S 
9,0.4517,0.1151,0.18,0.5, S 
9,0.4618,0.214,0.18,0.51, S 
9,0.4597,0.2729,0.18,0.5, S 
9,0.4588,0.2801,0.17,0.47, S 
9,0.4906,0.2902,0.17,0.47, S 
9,0.5025,0.2394,0.16,0.47, S 
9,0.4849,0.2058,0.16,0.47, S 
9,0.4951,0.1692,0.16,0.46, S 
9,0.4662,0.1705,0.16,0.48, S 
9,0.5849,0.2603,0.17,0.48, S 
