 Timestamp , Gazepoint X , Gazepoint Y , Pupil area (right) sq mm , Pupil area (left) sq mm , Eye event 
1,0.6033,0.6287,0.04,0.1, BE 
1,0.6033,0.6287,0.15,0.44, S 
1,0.6734,0.6245,0.19,0.38, S 
1,0.6097,0.6451,0.22,0.47, S 
1,0.5036,0.6605,0.22,0.5, S 
1,0.4125,0.6786,0.2,0.47, S 
1,0.2417,0.6265,0.15,0.39, S 
1,0.311,0.6323,0.17,0.4, S 
2,0.4681,0.6508,0.22,0.52, S 
2,0.4831,0.6319,0.2,0.5, S 
2,0.5029,0.6504,0.2,0.5, S 
2,0.5307,0.6042,0.19,0.53, S 
2,0.5313,0.5952,0.18,0.48, S 
3,0.5505,0.6154,0.18,0.43, S 
3,0.5419,0.624,0.2,0.46, S 
3,0.5571,0.6709,0.19,0.47, S 
3,0.5472,0.6923,0.21,0.49, S 
3,0.5068,0.7368,0.21,0.51, S 
3,0.5219,0.7163,0.21,0.56, S 
3,0.5698,0.7178,0.22,0.54, S 
3,0.6035,0.6175,0.19,0.54, S 
4,0.6093,0.6101,0.2,0.51, S 
4,0.5793,0.6194,0.21,0.52, S 
4,0.576,0.6202,0.22,0.49, S 
4,0.5696,0.637,0.21,0.5, S 
4,0.573,0.6572,0.2,0.46, S 
4,0.5743,0.6622,0.19,0.48, S 
4,0.6105,0.6556,0.19,0.47, S 
5,0.6093,0.6503,0.19,0.46, S 
5,0.6081,0.6631,0.18,0.44, S 
5,0.599,0.6665,0.18,0.43, S 
5,0.6015,0.6595,0.19,0.43, S 
5,0.6007,0.6697,0.18,0.42, FB 
5,0.5783,0.6753,0.19,0.43, FEx0.601y0.670d0.135 
5,0.5163,0.7487,0.19,0.46, S 
5,0.5629,0.6817,0.18,0.42, S 
6,0.5772,0.6978,0.18,0.4, S 
6,0.5593,0.7198,0.19,0.46, S 
6,0.5568,0.7087,0.2,0.47, S 
6,0.5616,0.6908,0.17,0.44, S 
6,0.5745,0.6532,0.17,0.47, S 
6,0.5603,0.6481,0.18,0.48, S 
6,0.5677,0.6852,0.18,0.46, S 
6,0.5636,0.7061,0.19,0.42, S 
6,0.5559,0.6489,0.18,0.45, S 
7,0.5497,0.6129,0.05,0.21, S 
7,0.5497,0.6129,0.2,0.52, S 
7,0.5682,0.6541,0.2,0.49, S 
7,0.5704,0.6775,0.19,0.51, S 
7,0.5752,0.6569,0.18,0.44, S 
8,0.6042,0.611,0.17,0.45, S 
8,0.6345,0.5612,0.15,0.4, S 
8,0.6346,0.5605,0.16,0.39, S 
8,0.6062,0.5861,0.17,0.42, S 
8,0.6546,0.626,0.17,0.39, S 
8,0.7027,0.5656,0.16,0.34, S 
8,0.6741,0.5883,0.16,0.35, S 
8,0.6254,0.582,0.19,0.41, S 
9,0.6039,0.5358,0.18,0.44, S 
9,0.5965,0.596,0.18,0.43, S 
9,0.5843,0.6087,0.16,0.39, S 
9,0.5918,0.6076,0.17,0.42, S 
9,0.5866,0.6179,0.2,0.51, S 
