 Timestamp , Gazepoint X , Gazepoint Y , Pupil area (right) sq mm , Pupil area (left) sq mm , Eye event 
1,0.5127,0.5635,0.63,0.32, NA 
1,0.5113,0.5682,0.66,0.38, NA 
1,0.5073,0.5568,0.65,0.44, NA 
1,0.506,0.5495,0.65,0.38, NA 
1,0.5039,0.5462,0.63,0.41, NA 
1,0.5039,0.5453,0.63,0.42, NA 
1,0.5039,0.5448,0.63,0.42, NA 
1,0.4973,0.5479,0.63,0.41, FEx0.507y0.555d1.010 
2,0.4963,0.5456,0.66,0.42, FB 
2,0.4952,0.5458,0.66,0.42, NA 
2,0.5092,0.5431,0.58,0.47, FEx0.496y0.546d0.246 
2,0.5161,0.5366,0.58,0.47, FB 
2,0.5268,0.5412,0.61,0.38, NA 
2,0.548,0.5629,0.58,0.61, FEx0.521y0.539d0.232 
2,0.5527,0.5606,0.64,0.58, FB 
2,0.555,0.5626,0.65,0.45, NA 
3,0.5654,0.5592,0.62,0.46, NA 
3,0.5717,0.5643,0.71,0.59, FEx0.558y0.561d0.426 
3,0.5739,0.569,0.65,0.58, FB 
3,0.5725,0.5642,0.65,0.58, NA 
3,0.592,0.5682,0.66,0.49, FEx0.573y0.567d0.265 
3,0.6018,0.5733,0.64,0.54, S 
3,0.6119,0.5753,0.6,0.65, S 
4,0.6188,0.5922,0.58,0.61, FB 
4,0.6188,0.5942,0.56,0.48, FEx0.619y0.592d0.371 
4,0.6308,0.5734,0.5,0.55, S 
4,0.6446,0.5558,0.58,0.28, S 
5,0.4065,0.5954,0.58,0.33, S 
5,0.4266,0.6152,0.59,0.33, S 
6,0.466,0.5974,0.41,0.27, S 
6,0.5062,0.6094,0.33,0.18, S 
7,0.5137,0.5879,0.36,0.22, FB 
7,0.5702,0.6225,0.36,0.07, NA 
7,0.5268,0.5839,0.38,0.43, NA 
8,0.5322,0.5923,0.39,0.45, FEx0.537y0.598d0.888 
8,0.5383,0.5849,0.42,0.42, S 
8,0.5524,0.581,0.54,0.55, FB 
8,0.5621,0.5655,0.42,0.51, FEx0.552y0.581d0.250 
9,0.5721,0.5704,0.48,0.45, FB 
9,0.5723,0.5779,0.48,0.44, NA 
9,0.5669,0.5814,0.49,0.44, NA 
9,0.5632,0.5842,0.48,0.44, NA 
