 Timestamp , Gazepoint X , Gazepoint Y , Pupil area (right) sq mm , Pupil area (left) sq mm , Eye event 
1,0.4876,0.4968,0.57,0.43, BE 
1,0.5728,0.3907,0.44,0.43, S 
1,0.5607,0.4293,0.38,0.42, S 
1,0.5657,0.447,0.4,0.34, S 
1,0.4851,0.572,0.46,0.33, FB 
1,0.4628,0.5902,0.33,0.34, FEx0.485y0.572d0.086 
1,0.3126,0.4817,0.31,0.35, S 
1,0.3397,0.4947,0.37,0.38, S 
2,0.3682,0.5253,0.39,0.36, S 
2,0.3724,0.5348,0.42,0.39, S 
2,0.4742,0.4965,0.51,0.35, S 
2,0.5956,0.4982,0.35,0.4, S 
2,0.7051,0.493,0.51,0.44, BE 
2,0.5318,0.5134,0.48,0.44, S 
3,0.5126,0.4791,0.52,0.45, S 
3,0.5103,0.5036,0.55,0.45, S 
3,0.5034,0.54,0.52,0.44, S 
3,0.5062,0.5679,0.52,0.46, S 
3,0.5027,0.5941,0.51,0.45, S 
3,0.4952,0.6054,0.49,0.43, S 
3,0.4949,0.6033,0.48,0.39, S 
3,0.4892,0.5748,0.48,0.38, S 
3,0.4866,0.5415,0.44,0.38, S 
3,0.4876,0.5294,0.43,0.38, S 
4,0.476,0.5417,0.42,0.4, S 
4,0.4717,0.531,0.43,0.38, FB 
4,0.4771,0.5252,0.43,0.4, NA 
4,0.4739,0.5181,0.41,0.38, NA 
4,0.4675,0.5228,0.42,0.4, FEx0.474y0.525d0.420 
4,0.4578,0.5427,0.45,0.39, S 
4,0.4813,0.5069,0.48,0.41, S 
5,0.4118,0.4566,0.43,0.36, S 
5,0.3898,0.4629,0.4,0.39, S 
5,0.3983,0.5122,0.42,0.37, S 
5,0.4325,0.5265,0.43,0.38, S 
5,0.4269,0.5369,0.45,0.41, S 
5,0.4426,0.5336,0.47,0.45, S 
6,0.4591,0.5293,0.49,0.41, BE 
6,0.4367,0.4638,0.41,0.37, S 
6,0.4239,0.502,0.44,0.4, S 
6,0.4055,0.5136,0.48,0.42, S 
6,0.4476,0.4959,0.46,0.46, S 
6,0.4816,0.5056,0.5,0.48, S 
6,0.5013,0.4999,0.5,0.48, FB 
6,0.3405,0.4686,0.33,0.37, FEx0.501y0.500d0.133 
6,0.376,0.5107,0.35,0.35, S 
6,0.334,0.4776,0.32,0.32, S 
7,0.3601,0.4568,0.32,0.33, S 
7,0.3621,0.4548,0.32,0.33, FB 
7,0.3478,0.4682,0.31,0.33, NA 
7,0.414,0.5387,0.29,0.34, FEx0.354y0.462d0.186 
7,0.4653,0.5864,0.41,0.29, S 
7,0.5839,0.6847,0.39,0.29, S 
7,0.5693,0.6437,0.41,0.28, S 
7,0.5368,0.6667,0.34,0.33, S 
7,0.5108,0.6777,0.33,0.3, S 
8,0.5108,0.6777,0.2,0.38, BB 
8,0.5108,0.6777,0.36,0.33, BE 
8,0.4677,0.5637,0.4,0.38, S 
8,0.6102,0.553,0.4,0.42, S 
8,0.5361,0.5735,0.42,0.38, S 
8,0.5191,0.6701,0.48,0.4, S 
8,0.544,0.7059,0.5,0.38, S 
8,0.5274,0.6912,0.46,0.43, S 
8,0.4421,0.739,0.55,0.36, S 
9,0.4252,0.6053,0.44,0.36, S 
9,0.4859,0.5724,0.47,0.44, S 
9,0.4669,0.5137,0.46,0.47, S 
9,0.4171,0.5159,0.46,0.42, BB 
9,0.368,0.5111,0.39,0.44, BE 
