 Timestamp , Gazepoint X , Gazepoint Y , Pupil area (right) sq mm , Pupil area (left) sq mm , Eye event 
1,0.6252,0.4827,0.15,0.31, FB 
1,0.627,0.4963,0.15,0.33, FEx0.625y0.483d0.138 
1,0.6267,0.4705,0.16,0.32, FB 
1,0.5798,0.4761,0.16,0.36, FEx0.627y0.470d0.109 
1,0.5732,0.4728,0.16,0.35, S 
1,0.5819,0.5006,0.15,0.38, S 
1,0.5845,0.5158,0.16,0.37, S 
1,0.5671,0.3515,0.17,0.33, S 
2,0.4701,0.3392,0.17,0.35, S 
2,0.3959,0.2992,0.17,0.42, S 
2,0.4463,0.7648,0.16,0.36, S 
2,0.5149,0.6418,0.15,0.33, S 
2,0.5529,0.584,0.14,0.33, S 
2,0.5479,0.5677,0.13,0.34, S 
2,0.535,0.5746,0.14,0.35, FB 
2,0.5492,0.5494,0.14,0.34, FEx0.535y0.575d0.091 
2,0.5695,0.5931,0.14,0.38, S 
3,0.5786,0.6159,0.15,0.4, S 
3,0.642,0.5768,0.15,0.36, S 
3,0.6381,0.5798,0.15,0.36, S 
3,0.6261,0.5891,0.16,0.39, FB 
3,0.618,0.5844,0.16,0.38, NA 
3,0.6199,0.5456,0.17,0.38, FEx0.622y0.587d0.205 
3,0.6236,0.5413,0.18,0.38, FB 
3,0.6307,0.5387,0.18,0.4, NA 
3,0.6333,0.5389,0.18,0.41, NA 
3,0.6302,0.5397,0.17,0.41, NA 
4,0.6255,0.5398,0.17,0.4, NA 
4,0.5847,0.5571,0.17,0.41, FEx0.629y0.540d0.454 
4,0.5686,0.5418,0.17,0.38, S 
4,0.5497,0.5151,0.16,0.36, S 
4,0.5574,0.489,0.17,0.35, S 
4,0.5489,0.4766,0.17,0.4, S 
4,0.5581,0.3554,0.16,0.37, S 
4,0.5832,0.4174,0.16,0.35, S 
5,0.579,0.5479,0.15,0.34, S 
5,0.5524,0.5974,0.15,0.33, S 
5,0.5499,0.6085,0.16,0.38, S 
5,0.5679,0.6297,0.17,0.41, S 
5,0.5597,0.6093,0.18,0.46, S 
5,0.5639,0.607,0.19,0.49, S 
5,0.5633,0.6015,0.19,0.47, S 
5,0.5783,0.6014,0.18,0.51, S 
5,0.5982,0.6038,0.17,0.45, S 
6,0.5755,0.5519,0.18,0.41, S 
6,0.5876,0.5146,0.16,0.42, S 
6,0.5714,0.5286,0.15,0.42, FB 
6,0.5777,0.5193,0.16,0.42, FEx0.571y0.529d0.114 
6,0.5902,0.5258,0.17,0.43, FB 
6,0.5821,0.5373,0.18,0.44, FEx0.590y0.526d0.095 
6,0.5868,0.5832,0.19,0.45, S 
6,0.574,0.564,0.2,0.61, S 
6,0.5592,0.5693,0.2,0.48, S 
7,0.5683,0.5605,0.19,0.5, S 
7,0.5653,0.6057,0.2,0.48, S 
7,0.571,0.5998,0.21,0.51, S 
7,0.5152,0.4495,0.22,0.44, S 
7,0.5092,0.3513,0.2,0.48, S 
7,0.5024,0.3732,0.19,0.45, S 
7,0.5274,0.4809,0.17,0.33, S 
7,0.5797,0.5746,0.14,0.36, S 
7,0.5897,0.6185,0.15,0.37, S 
7,0.5493,0.5397,0.16,0.36, S 
8,0.5447,0.5493,0.17,0.39, FB 
8,0.5651,0.5599,0.18,0.42, NA 
8,0.5728,0.5655,0.18,0.43, FEx0.555y0.555d0.189 
8,0.5719,0.5598,0.19,0.44, FB 
8,0.5828,0.5544,0.19,0.45, NA 
8,0.5762,0.5702,0.19,0.43, NA 
8,0.5815,0.5666,0.18,0.44, NA 
8,0.5844,0.561,0.18,0.44, NA 
8,0.585,0.5682,0.17,0.42, FEx0.579y0.562d0.668 
9,0.5924,0.579,0.17,0.42, S 
9,0.601,0.5696,0.16,0.44, S 
9,0.5696,0.5663,0.17,0.42, S 
9,0.5577,0.5807,0.18,0.43, S 
9,0.5656,0.6208,0.17,0.42, S 
9,0.5757,0.6058,0.17,0.41, S 
