 Timestamp , Gazepoint X , Gazepoint Y , Pupil area (right) sq mm , Pupil area (left) sq mm , Eye event 
1,0.5026,0.7148,0.38,0.47, S 
1,0.5541,0.6641,0.37,0.46, S 
1,0.5606,0.5854,0.4,0.5, S 
1,0.5523,0.5667,0.4,0.47, S 
1,0.5371,0.5128,0.4,0.49, S 
1,0.5438,0.4967,0.46,0.48, S 
1,0.5912,0.5452,0.43,0.52, S 
1,0.5779,0.4592,0.44,0.52, S 
1,0.5956,0.4584,0.44,0.51, S 
1,0.5567,0.5,0.46,0.51, S 
2,0.5438,0.509,0.45,0.5, S 
2,0.5313,0.5187,0.45,0.5, FB 
2,0.5339,0.5215,0.45,0.49, NA 
2,0.5482,0.4993,0.44,0.48, NA 
2,0.5497,0.4925,0.43,0.49, NA 
2,0.5439,0.4928,0.44,0.61, FEx0.541y0.508d0.429 
2,0.5676,0.7335,0.39,0.52, S 
2,0.5676,0.7227,0.45,0.45, S 
2,0.4593,0.4317,0.45,0.48, S 
3,0.5491,0.3794,0.44,0.5, S 
3,0.5588,0.376,0.44,0.5, FB 
3,0.5734,0.4251,0.44,0.52, NA 
3,0.5698,0.4207,0.45,0.53, NA 
3,0.5723,0.4433,0.43,0.54, FEx0.567y0.407d0.280 
3,0.492,0.437,0.46,0.52, S 
3,0.5007,0.6127,0.46,0.57, S 
3,0.4947,0.6349,0.5,0.58, S 
3,0.5195,0.5313,0.42,0.52, S 
3,0.5358,0.4691,0.44,0.6, S 
4,0.5358,0.4691,0.38,0.44, BE 
4,0.58,0.4711,0.39,0.5, S 
4,0.5845,0.479,0.4,0.53, S 
4,0.6668,0.7434,0.36,0.5, S 
5,0.52,1.0712,0.39,0.37, BE 
5,0.4562,0.4303,0.37,0.42, S 
5,0.4944,0.3397,0.33,0.4, S 
5,0.6241,0.1739,0.36,0.52, S 
5,0.6357,0.2124,0.4,0.44, S 
5,0.4688,0.6063,0.39,0.43, S 
5,0.4944,0.5187,0.35,0.4, S 
5,0.5083,0.5168,0.34,0.41, S 
5,0.514,0.5222,0.4,0.43, S 
6,0.5205,0.5224,0.41,0.46, FB 
6,0.5215,0.5314,0.41,0.47, FEx0.521y0.522d0.105 
6,0.5143,0.5212,0.45,0.49, S 
6,0.5274,0.5114,0.46,0.49, S 
6,0.5399,0.5039,0.46,0.51, FB 
6,0.5187,0.5479,0.48,0.54, FEx0.540y0.504d0.124 
6,0.5779,0.634,0.49,0.59, S 
6,0.5845,0.6183,0.47,0.54, FB 
6,0.5798,0.4952,0.48,0.58, FEx0.585y0.618d0.104 
7,0.5521,0.5026,0.49,0.53, S 
7,0.4276,0.4982,0.5,0.49, S 
7,0.4569,0.539,0.49,0.55, S 
7,0.4531,0.553,0.51,0.52, S 
7,0.4896,0.5765,0.48,0.54, S 
7,0.5021,0.5926,0.48,0.56, S 
7,0.4941,0.6378,0.47,0.57, S 
7,0.4892,0.5725,0.48,0.57, S 
7,0.4918,0.6213,0.48,0.57, S 
7,0.5026,0.6278,0.48,0.56, S 
8,0.5236,0.6296,0.47,0.55, S 
8,0.5412,0.634,0.45,0.53, BE 
8,0.5239,0.4476,0.46,0.52, S 
8,0.5096,0.5336,0.47,0.53, S 
8,0.5252,0.6009,0.52,0.55, S 
9,0.5609,0.5688,0.5,0.57, S 
9,0.5672,0.5754,0.54,0.59, S 
9,0.5271,0.5539,0.53,0.58, FB 
9,0.5432,0.6011,0.48,0.54, NA 
9,0.5426,0.5965,0.47,0.56, FEx0.535y0.578d0.219 
9,0.6065,0.3999,0.46,0.59, S 
9,0.577,0.3458,0.48,0.58, S 
9,0.5716,0.3231,0.42,0.51, S 
