 Timestamp , Gazepoint X , Gazepoint Y , Pupil area (right) sq mm , Pupil area (left) sq mm , Eye event 
1,0.5599,0.511,0.46,0.44, FB 
1,0.561,0.5071,0.4,0.45, NA 
1,0.5649,0.5028,0.41,0.39, FEx0.560y0.509d0.255 
1,0.5663,0.5075,0.43,0.38, FB 
1,0.5571,0.5118,0.43,0.37, NA 
1,0.5743,0.51,0.35,0.3, NA 
1,0.5919,0.5094,0.35,0.3, NA 
1,0.5946,0.5039,0.36,0.3, NA 
1,0.5983,0.5002,0.36,0.3, NA 
2,0.6022,0.5013,0.35,0.3, NA 
2,0.6038,0.4979,0.36,0.3, NA 
2,0.6055,0.4951,0.33,0.32, FEx0.586y0.505d0.888 
2,0.6111,0.5026,0.33,0.32, FB 
2,0.6129,0.512,0.3,0.32, NA 
2,0.6061,0.51,0.3,0.31, FEx0.612y0.507d0.234 
2,0.617,0.5039,0.31,0.42, FB 
2,0.6288,0.4963,0.31,0.42, NA 
2,0.6319,0.4961,0.39,0.41, NA 
2,0.6358,0.5017,0.39,0.41, NA 
3,0.6395,0.5062,0.62,0.58, FEx0.628y0.499d0.511 
3,0.4113,0.5257,0.68,0.5, S 
3,0.4044,0.5325,0.71,0.49, FB 
3,0.406,0.5201,0.64,0.46, NA 
3,0.4105,0.5226,0.62,0.42, FEx0.405y0.526d0.383 
3,0.4218,0.5405,0.62,0.48, FB 
4,0.4296,0.5459,0.67,0.49, NA 
4,0.4306,0.5458,0.67,0.48, NA 
4,0.4321,0.5403,0.56,0.39, NA 
4,0.4328,0.533,0.56,0.39, NA 
4,0.4401,0.5312,0.65,0.51, FEx0.429y0.541d0.776 
4,0.452,0.5238,0.65,0.5, FB 
4,0.4509,0.5195,0.58,0.51, NA 
5,0.4459,0.5223,0.58,0.5, NA 
5,0.4529,0.5255,0.55,0.36, NA 
5,0.4578,0.5256,0.56,0.35, NA 
5,0.4691,0.5253,0.58,0.38, FEx0.452y0.523d0.846 
5,0.4702,0.5268,0.59,0.39, S 
5,0.481,0.5227,0.47,0.32, FB 
6,0.4881,0.5197,0.47,0.33, FEx0.481y0.523d0.087 
6,0.497,0.5189,0.5,0.38, FB 
6,0.5008,0.5219,0.5,0.38, NA 
6,0.5069,0.5197,0.51,0.48, NA 
6,0.5082,0.5126,0.51,0.48, NA 
6,0.5049,0.5111,0.51,0.47, NA 
6,0.5124,0.5088,0.43,0.38, NA 
6,0.5176,0.5042,0.42,0.37, NA 
7,0.5191,0.5029,0.42,0.37, NA 
7,0.5281,0.5069,0.44,0.44, NA 
7,0.5289,0.5104,0.45,0.43, NA 
7,0.529,0.5115,0.45,0.44, NA 
7,0.5304,0.5122,0.45,0.44, NA 
7,0.5369,0.5117,0.4,0.44, NA 
7,0.5386,0.5098,0.4,0.44, NA 
7,0.5416,0.5089,0.37,0.37, NA 
7,0.5441,0.5085,0.37,0.37, NA 
7,0.5673,0.5131,0.35,0.32, FEx0.521y0.511d1.700 
8,0.5787,0.5115,0.35,0.32, FB 
8,0.5894,0.5143,0.43,0.38, NA 
8,0.5888,0.5149,0.43,0.36, FEx0.584y0.513d0.236 
8,0.5959,0.5161,0.41,0.3, FB 
8,0.5976,0.5101,0.41,0.29, NA 
8,0.6001,0.5103,0.35,0.43, NA 
8,0.6073,0.5163,0.35,0.43, NA 
8,0.6118,0.5213,0.35,0.44, NA 
8,0.6139,0.5258,0.34,0.43, NA 
8,0.6131,0.5286,0.34,0.43, NA 
9,0.6093,0.5233,0.35,0.43, FEx0.606y0.518d0.766 
9,0.608,0.5188,0.35,0.43, FB 
9,0.6085,0.5195,0.5,0.42, NA 
9,0.6135,0.5242,0.49,0.42, NA 
