 Timestamp , Gazepoint X , Gazepoint Y , Pupil area (right) sq mm , Pupil area (left) sq mm , Eye event 
1,0.5106,0.4705,0.25,0.7, S 
1,0.5155,0.4973,0.26,0.69, S 
1,0.5401,0.4976,0.26,0.71, S 
1,0.5355,0.4764,0.26,0.7, S 
1,0.5366,0.478,0.26,0.7, S 
1,0.5334,0.5219,0.26,0.71, S 
1,0.531,0.5565,0.25,0.69, S 
1,0.5156,0.329,0.26,0.7, S 
1,0.5213,0.3054,0.26,0.73, S 
2,0.5223,0.3746,0.26,0.69, S 
2,0.4399,0.3359,0.23,0.67, S 
2,0.4573,0.3365,0.23,0.65, S 
2,0.4621,0.3362,0.23,0.66, FB 
2,0.463,0.3504,0.23,0.65, NA 
2,0.4547,0.3406,0.23,0.66, FEx0.463y0.343d0.159 
2,0.4701,0.2882,0.24,0.66, S 
2,0.4792,0.3167,0.24,0.65, S 
2,0.4859,0.3385,0.24,0.65, S 
2,0.4947,0.428,0.24,0.66, S 
2,0.4997,0.4534,0.24,0.64, S 
3,0.5099,0.4609,0.23,0.6, S 
3,0.4975,0.4235,0.23,0.59, S 
3,0.501,0.3873,0.21,0.58, S 
3,0.4955,0.3812,0.21,0.58, S 
3,0.486,0.317,0.21,0.6, S 
3,0.4756,0.2899,0.21,0.6, S 
3,0.4811,0.2745,0.21,0.62, S 
3,0.462,0.2484,0.22,0.63, S 
3,0.4665,0.2473,0.22,0.65, S 
3,0.4988,0.2479,0.23,0.63, S 
3,0.512,0.288,0.22,0.67, S 
4,0.644,0.4969,0.23,0.63, S 
4,0.5773,0.5828,0.23,0.89, S 
4,0.541,0.656,0.17,0.58, S 
4,0.2973,0.2121,0.19,0.58, S 
4,0.2973,0.2367,0.19,0.58, S 
4,0.3774,0.2191,0.24,0.58, S 
4,0.4419,0.2222,0.23,0.62, S 
4,0.4916,0.234,0.22,0.65, S 
4,0.4726,0.2138,0.23,0.63, S 
5,0.4671,0.2257,0.21,0.66, S 
5,0.4453,0.3907,0.24,0.68, S 
5,0.4731,0.413,0.24,0.66, S 
5,0.4469,0.4276,0.24,0.66, S 
5,0.4717,0.4663,0.25,0.65, S 
5,0.4932,0.458,0.23,0.67, S 
5,0.5126,0.4237,0.25,0.69, S 
5,0.5302,0.392,0.25,0.67, S 
5,0.5378,0.3742,0.25,0.69, S 
5,0.5473,0.373,0.25,0.7, FB 
6,0.557,0.3665,0.25,0.69, FEx0.547y0.373d0.152 
6,0.3943,0.2426,0.26,0.63, S 
6,0.3619,0.2838,0.27,0.66, S 
6,0.3251,0.262,0.25,0.62, S 
6,0.3582,0.1348,0.2,0.55, S 
6,0.329,0.151,0.18,0.52, S 
6,0.4167,0.2753,0.2,0.52, S 
6,0.397,0.2713,0.19,0.54, S 
6,0.3952,0.3088,0.19,0.53, S 
6,0.3851,0.3372,0.2,0.57, S 
6,0.4145,0.3947,0.2,0.56, S 
7,0.4553,0.3689,0.22,0.6, S 
7,0.4841,0.3799,0.22,0.61, S 
7,0.4823,0.31,0.2,0.64, S 
7,0.4997,0.2998,0.21,0.65, S 
7,0.509,0.3261,0.21,0.65, S 
7,0.5055,0.3839,0.21,0.6, S 
7,0.5219,0.3795,0.19,0.55, S 
7,0.4975,0.3257,0.18,0.58, S 
7,0.4884,0.2949,0.17,0.53, S 
7,0.4624,0.3405,0.16,0.56, S 
7,0.4621,0.319,0.16,0.55, S 
7,0.4344,0.3224,0.16,0.56, S 
8,0.4275,0.3024,0.18,0.55, S 
8,0.4166,0.2878,0.16,0.52, NA 
8,0.4166,0.2878,0.14,0.52, NA 
8,0.4171,0.3145,0.16,0.57, NA 
8,0.4371,0.2165,0.21,0.58, BE 
9,0.4394,0.249,0.23,0.61, S 
9,0.4473,0.4276,0.19,0.64, BB 
9,0.4929,0.4097,0.21,0.6, BE 
9,0.4977,0.4276,0.19,0.62, S 
9,0.5106,0.3694,0.23,0.63, S 
9,0.5263,0.3776,0.23,0.65, S 
9,0.5249,0.3915,0.25,0.66, S 
9,0.5245,0.5133,0.28,0.76, S 
9,0.5374,0.5696,0.29,0.77, S 
