 Timestamp , Gazepoint X , Gazepoint Y , Pupil area (right) sq mm , Pupil area (left) sq mm , Eye event 
1,0.5985,0.6524,0.39,0.61, FEx0.598y0.656d0.348 
1,0.6027,0.6495,0.44,0.59, FB 
1,0.6067,0.6493,0.44,0.57, NA 
1,0.6047,0.6463,0.44,0.57, NA 
1,0.6109,0.648,0.44,0.61, FEx0.605y0.648d0.278 
1,0.613,0.6477,0.49,0.63, FB 
1,0.6126,0.649,0.5,0.64, NA 
1,0.6266,0.6547,0.45,0.64, FEx0.613y0.648d0.157 
1,0.6378,0.664,0.45,0.64, FB 
1,0.6374,0.6654,0.45,0.62, NA 
1,0.629,0.6663,0.45,0.62, NA 
1,0.6403,0.6659,0.48,0.59, NA 
2,0.6491,0.6652,0.48,0.58, NA 
2,0.5569,0.6685,0.52,0.68, FEx0.639y0.665d0.476 
2,0.4987,0.6708,0.53,0.67, S 
2,0.3556,0.7284,0.56,0.71, FB 
2,0.354,0.698,0.53,0.65, NA 
2,0.3403,0.6868,0.52,0.65, NA 
2,0.3968,0.7095,0.49,0.71, FEx0.350y0.704d0.304 
2,0.4138,0.7074,0.48,0.72, FB 
2,0.3757,0.6983,0.54,0.71, FEx0.414y0.707d0.112 
2,0.3629,0.696,0.51,0.65, FB 
3,0.3679,0.6883,0.5,0.69, NA 
3,0.3665,0.6898,0.54,0.66, NA 
3,0.3901,0.708,0.51,0.68, FEx0.366y0.691d0.312 
3,0.4111,0.7149,0.48,0.68, FB 
3,0.4178,0.7065,0.49,0.71, NA 
3,0.415,0.6774,0.47,0.68, FEx0.414y0.711d0.183 
3,0.4099,0.6567,0.56,0.71, S 
3,0.3467,0.6946,0.52,0.68, S 
3,0.3394,0.6803,0.51,0.66, FB 
4,0.3769,0.6833,0.53,0.73, S 
4,0.3938,0.6997,0.52,0.73, S 
4,0.427,0.7047,0.55,0.66, S 
4,0.3838,0.6946,0.51,0.7, S 
4,0.4125,0.6507,0.46,0.68, S 
4,0.4433,0.6468,0.45,0.7, S 
5,0.4392,0.622,0.43,0.61, FB 
5,0.4172,0.6023,0.44,0.63, FEx0.439y0.622d0.095 
5,0.4032,0.6174,0.47,0.65, FB 
5,0.4039,0.6133,0.42,0.67, FEx0.403y0.617d0.099 
5,0.4076,0.6079,0.42,0.65, FB 
5,0.4217,0.5921,0.51,0.67, FEx0.408y0.608d0.119 
5,0.4485,0.5709,0.46,0.65, S 
5,0.4783,0.5783,0.45,0.67, S 
5,0.492,0.5781,0.47,0.67, FB 
6,0.3789,0.6722,0.53,0.72, FEx0.492y0.578d0.139 
6,0.3882,0.6778,0.5,0.69, FB 
6,0.3797,0.6884,0.53,0.72, NA 
6,0.3577,0.6542,0.45,0.68, FEx0.384y0.683d0.215 
6,0.3952,0.6377,0.46,0.68, S 
6,0.3972,0.6441,0.52,0.69, S 
7,0.4146,0.6435,0.51,0.72, FB 
7,0.4347,0.6504,0.52,0.68, FEx0.415y0.643d0.099 
7,0.4524,0.6538,0.48,0.65, FB 
7,0.4831,0.6408,0.42,0.65, FEx0.452y0.654d0.097 
7,0.4959,0.6378,0.46,0.68, FB 
7,0.512,0.6319,0.38,0.65, FEx0.496y0.638d0.110 
7,0.531,0.6206,0.38,0.64, FB 
7,0.5564,0.628,0.38,0.63, FEx0.531y0.621d0.131 
7,0.5613,0.6321,0.38,0.61, FB 
7,0.5789,0.6186,0.41,0.6, FEx0.561y0.632d0.112 
8,0.5897,0.6026,0.38,0.61, FB 
8,0.5852,0.6074,0.41,0.61, NA 
8,0.6151,0.5998,0.41,0.56, FEx0.587y0.605d0.233 
8,0.6368,0.605,0.46,0.58, FB 
8,0.6712,0.6128,0.42,0.53, FEx0.637y0.605d0.169 
8,0.705,0.6177,0.47,0.58, S 
8,0.3644,0.6802,0.47,0.56, S 
9,0.3911,0.6851,0.44,0.61, S 
9,0.3883,0.6726,0.48,0.64, FB 
9,0.3958,0.6332,0.46,0.63, FEx0.388y0.673d0.143 
9,0.4187,0.6304,0.49,0.65, S 
9,0.4219,0.6527,0.49,0.64, S 
9,0.4334,0.6349,0.56,0.68, S 
9,0.4545,0.6449,0.56,0.7, S 
