 Timestamp , Gazepoint X , Gazepoint Y , Pupil area (right) sq mm , Pupil area (left) sq mm , Eye event 
1,0.3772,0.508,0.63,0.53, S 
1,0.2846,0.4883,0.63,0.54, S 
1,0.3226,0.5743,0.62,0.53, S 
1,0.3592,0.6376,0.7,0.53, BE 
1,0.5821,0.617,0.62,0.52, S 
1,0.6204,0.644,0.62,0.51, BE 
1,0.4392,0.6176,0.63,0.48, S 
2,0.2997,0.4838,0.61,0.5, S 
2,0.3133,0.4894,0.61,0.51, S 
2,0.2945,0.4669,0.47,0.28, BE 
2,0.5806,0.5386,0.61,0.51, S 
2,0.6068,0.4936,0.6,0.4, BB 
2,0.679,0.5507,0.6,0.59, BE 
2,0.803,0.4429,0.64,0.56, BB 
3,0.7971,0.4647,0.55,0.53, BE 
3,0.7663,0.4844,0.57,0.58, S 
3,0.7503,0.5291,0.6,0.49, S 
3,0.8679,0.5317,0.46,0.45, S 
3,0.8087,0.4753,0.58,0.45, S 
3,0.8017,0.5548,0.51,0.46, S 
3,0.7502,0.5583,0.54,0.54, S 
4,0.7096,0.5731,0.56,0.44, BE 
4,0.3911,0.5996,0.63,0.49, S 
4,0.4421,0.5978,0.61,0.5, S 
4,0.4341,0.5758,0.62,0.49, S 
4,0.4357,0.5624,0.53,0.47, S 
4,0.3751,0.3421,0.61,0.48, S 
4,0.4142,0.3206,0.59,0.53, S 
5,0.3965,0.3322,0.58,0.45, FB 
5,0.4069,0.3556,0.56,0.44, NA 
5,0.4164,0.3823,0.56,0.43, FEx0.402y0.344d0.193 
5,0.4248,0.4067,0.48,0.51, BE 
5,0.5816,0.6002,0.51,0.44, S 
5,0.5689,0.6171,0.46,0.42, S 
6,0.7493,0.5177,0.46,0.43, S 
6,0.6615,0.6103,0.51,0.52, S 
6,0.6033,0.6741,0.61,0.39, S 
6,0.4954,0.5705,0.63,0.5, S 
6,0.3989,0.5848,0.57,0.44, S 
6,0.4078,0.7475,0.59,0.43, S 
7,0.4372,0.6255,0.64,0.45, S 
7,0.4556,0.5962,0.6,0.46, S 
7,0.474,0.5595,0.65,0.49, BE 
7,0.2876,0.4659,0.6,0.49, S 
7,0.2884,0.4334,0.57,0.55, BE 
7,0.614,0.6059,0.62,0.56, S 
8,0.6175,0.5997,0.58,0.54, S 
8,0.5814,0.567,0.63,0.47, S 
8,0.558,0.5439,0.68,0.49, S 
8,0.4185,0.6409,0.67,0.48, S 
8,0.2749,0.5361,0.54,0.5, S 
9,0.1661,0.4702,0.51,0.57, BE 
9,0.6824,0.6724,0.48,0.45, BB 
9,0.5567,0.6549,0.62,0.5, BE 
9,0.4824,0.6018,0.58,0.44, S 
9,0.5206,0.5578,0.6,0.47, S 
