 Timestamp , Gazepoint X , Gazepoint Y , Pupil area (right) sq mm , Pupil area (left) sq mm , Eye event 
1,0.4531,0.3875,0.42,0.41, S 
1,0.4713,0.3994,0.42,0.42, S 
1,0.4743,0.4008,0.42,0.42, S 
1,0.4659,0.391,0.4,0.41, FB 
1,0.4632,0.4032,0.41,0.42, FEx0.466y0.391d0.120 
1,0.4737,0.4036,0.41,0.4, FB 
1,0.4764,0.4109,0.41,0.4, FEx0.474y0.404d0.093 
1,0.4933,0.4035,0.42,0.39, S 
1,0.4961,0.387,0.4,0.38, S 
2,0.5,0.3733,0.31,0.31, S 
2,0.7945,0.3989,0.28,0.27, S 
2,0.7067,0.4559,0.34,0.34, S 
2,0.7049,0.4873,0.31,0.35, S 
2,0.6646,0.5326,0.37,0.37, S 
2,0.6681,0.5776,0.39,0.38, S 
2,0.5573,0.5792,0.44,0.45, S 
2,0.4745,0.5922,0.39,0.34, S 
2,0.2304,0.5069,0.38,0.38, S 
2,0.2276,0.4769,0.38,0.44, S 
3,0.2722,0.4757,0.43,0.39, S 
3,0.3949,0.4399,0.47,0.43, S 
3,0.3995,0.4743,0.47,0.44, S 
3,0.3649,0.4545,0.49,0.42, S 
3,0.3897,0.478,0.47,0.42, S 
3,0.4033,0.4926,0.19,0.3, S 
3,0.4033,0.4926,0.48,0.41, S 
3,0.4316,0.5328,0.45,0.45, S 
3,0.4094,0.4411,0.47,0.44, S 
4,0.3808,0.3227,0.44,0.38, S 
4,0.4022,0.3102,0.43,0.42, S 
4,0.4866,0.3073,0.42,0.4, S 
4,0.4731,0.3297,0.43,0.42, S 
4,0.5709,0.3072,0.41,0.34, S 
4,0.5685,0.3373,0.39,0.37, S 
4,0.5528,0.3041,0.39,0.37, S 
4,0.5409,0.2832,0.39,0.36, S 
4,0.5642,0.3611,0.39,0.37, S 
4,0.5785,0.4127,0.14,0.13, BE 
5,0.5785,0.4127,0.43,0.36, S 
5,0.5174,0.3964,0.42,0.39, S 
5,0.5031,0.2835,0.39,0.37, S 
5,0.496,0.3019,0.39,0.37, S 
5,0.507,0.334,0.39,0.38, S 
5,0.5147,0.3272,0.39,0.36, S 
5,0.5138,0.3606,0.42,0.4, S 
5,0.5194,0.3609,0.4,0.39, S 
5,0.5415,0.377,0.39,0.4, S 
5,0.5308,0.3501,0.39,0.39, S 
5,0.5372,0.3451,0.38,0.39, S 
6,0.5371,0.3132,0.34,0.34, S 
6,0.5248,0.3497,0.35,0.35, S 
6,0.5583,0.5487,0.38,0.37, S 
6,0.5486,0.5224,0.35,0.36, S 
6,0.5539,0.4946,0.35,0.33, S 
6,0.5475,0.4928,0.37,0.33, S 
6,0.5469,0.5105,0.36,0.33, S 
6,0.5445,0.5389,0.34,0.27, S 
6,0.5394,0.5266,0.34,0.26, S 
6,0.5368,0.5547,0.35,0.31, S 
7,0.586,0.4467,0.32,0.31, S 
7,0.5883,0.4649,0.3,0.31, S 
7,0.546,0.4426,0.35,0.33, S 
7,0.4509,0.2396,0.26,0.28, S 
7,0.4408,0.0521,0.23,0.22, S 
7,0.4093,0.0408,0.24,0.21, S 
7,0.4474,0.0818,0.25,0.25, S 
7,0.4552,0.1259,0.28,0.29, S 
7,0.4648,0.1705,0.28,0.3, S 
8,0.45,0.2082,0.27,0.3, S 
8,0.3789,0.2224,0.29,0.28, S 
8,0.3921,0.2422,0.28,0.27, S 
8,0.3888,0.2317,0.28,0.27, S 
8,0.3859,0.2622,0.28,0.28, S 
8,0.3891,0.2898,0.28,0.29, S 
8,0.3882,0.2901,0.29,0.29, S 
8,0.388,0.2972,0.3,0.29, BE 
8,0.5635,0.2623,0.32,0.31, S 
8,0.5784,0.2566,0.31,0.32, S 
9,0.4078,0.3174,0.34,0.33, S 
9,0.3898,0.3172,0.33,0.34, S 
9,0.3701,0.321,0.31,0.2, S 
9,0.1448,0.4125,0.3,0.23, S 
9,0.0989,0.4503,0.33,0.31, S 
9,0.3926,0.3423,0.31,0.33, S 
9,0.4056,0.358,0.3,0.32, S 
9,0.4,0.3532,0.3,0.31, S 
9,0.3975,0.3839,0.3,0.32, S 
