 Timestamp , Gazepoint X , Gazepoint Y , Pupil area (right) sq mm , Pupil area (left) sq mm , Eye event 
1,0.6,0.5452,0.74,0.53, S 
1,0.4213,0.5362,0.73,0.45, S 
1,0.409,0.5383,0.73,0.58, FB 
1,0.4088,0.5484,0.73,0.6, FEx0.409y0.538d0.211 
1,0.4341,0.5689,0.71,0.38, S 
2,0.4346,0.5727,0.78,0.47, S 
3,0.4731,0.5376,0.67,0.39, S 
3,0.5074,0.5352,0.6,0.4, S 
3,0.4986,0.548,0.65,0.48, FB 
3,0.5057,0.543,0.58,0.42, NA 
3,0.4936,0.5422,0.59,0.45, NA 
3,0.4956,0.5458,0.63,0.39, FEx0.499y0.544d0.416 
4,0.5019,0.5559,0.62,0.39, FB 
4,0.5122,0.5572,0.66,0.52, FEx0.502y0.556d0.082 
4,0.5214,0.5513,0.66,0.51, FB 
4,0.5254,0.5502,0.66,0.61, NA 
4,0.513,0.5498,0.67,0.6, FEx0.523y0.551d0.228 
4,0.5137,0.5468,0.66,0.7, FB 
4,0.5193,0.5434,0.67,0.7, NA 
4,0.5294,0.5383,0.71,0.77, NA 
4,0.5321,0.5352,0.72,0.76, NA 
4,0.5291,0.5321,0.71,0.77, NA 
4,0.5353,0.5318,0.78,0.67, NA 
5,0.5444,0.5317,0.78,0.67, NA 
5,0.5499,0.5306,0.78,0.67, NA 
5,0.5572,0.5348,0.79,0.64, NA 
5,0.5555,0.5352,0.79,0.63, FEx0.534y0.536d0.896 
5,0.5653,0.5388,0.79,0.58, FB 
5,0.5706,0.54,0.79,0.57, FEx0.565y0.539d0.107 
5,0.5855,0.5501,0.69,0.57, FB 
5,0.6038,0.5578,0.69,0.57, NA 
5,0.6139,0.5636,0.59,0.57, FEx0.595y0.554d0.241 
6,0.6164,0.566,0.59,0.57, FB 
6,0.6115,0.5645,0.66,0.63, NA 
6,0.6064,0.5618,0.66,0.63, NA 
6,0.6074,0.5538,0.54,0.57, NA 
6,0.5992,0.5452,0.54,0.55, FEx0.610y0.562d0.525 
6,0.6074,0.5509,0.51,0.53, FB 
6,0.6231,0.5613,0.51,0.55, NA 
6,0.6272,0.5619,0.58,0.56, NA 
7,0.6266,0.5592,0.67,0.41, FEx0.619y0.558d0.439 
7,0.4091,0.5523,0.74,0.68, S 
7,0.4157,0.5606,0.77,0.48, S 
7,0.4232,0.5778,0.72,0.55, FB 
7,0.4105,0.5501,0.73,0.61, NA 
7,0.4118,0.5614,0.7,0.5, NA 
7,0.4113,0.5595,0.64,0.53, NA 
8,0.412,0.5591,0.63,0.53, NA 
8,0.412,0.5608,0.63,0.53, NA 
8,0.4151,0.5635,0.69,0.62, NA 
8,0.4184,0.5644,0.69,0.62, NA 
8,0.4199,0.5632,0.69,0.62, NA 
8,0.4218,0.5622,0.69,0.62, NA 
8,0.4215,0.5556,0.74,0.69, NA 
8,0.4207,0.5507,0.74,0.69, NA 
8,0.4196,0.5488,0.74,0.69, NA 
8,0.403,0.544,0.75,0.7, FEx0.417y0.560d1.446 
9,0.4204,0.5567,0.7,0.55, FB 
9,0.4305,0.5609,0.7,0.55, FEx0.420y0.557d0.171 
9,0.4768,0.5706,0.66,0.39, S 
9,0.5034,0.5605,0.66,0.45, FB 
