 Timestamp , Gazepoint X , Gazepoint Y , Pupil area (right) sq mm , Pupil area (left) sq mm , Eye event 
1,0.505,0.5962,0.22,0.28, FEx0.484y0.610d0.220 
1,0.5195,0.5835,0.26,0.21, FB 
1,0.5252,0.5916,0.27,0.24, NA 
1,0.53,0.5998,0.36,0.24, NA 
1,0.5223,0.5956,0.37,0.28, NA 
1,0.5175,0.5889,0.37,0.29, NA 
1,0.5138,0.5849,0.37,0.29, NA 
1,0.5101,0.5837,0.37,0.28, NA 
1,0.3621,0.7578,0.56,0.31, FEx0.520y0.590d0.778 
1,0.3654,0.7599,0.32,0.3, S 
2,0.3578,0.7807,0.38,0.29, FB 
2,0.3777,0.7992,0.33,0.34, NA 
2,0.3767,0.7962,0.33,0.38, NA 
2,0.3844,0.7746,0.39,0.33, NA 
2,0.3872,0.7651,0.43,0.29, FEx0.374y0.788d0.322 
2,0.4012,0.854,0.42,0.3, S 
2,0.3988,0.8665,0.42,0.3, FB 
2,0.406,0.8222,0.42,0.31, NA 
2,0.4264,0.8202,0.47,0.31, NA 
2,0.4439,0.7696,0.36,0.33, NA 
2,0.4148,0.7018,0.55,0.26, FEx0.419y0.819d0.335 
3,0.4221,0.7006,0.49,0.26, FB 
3,0.4069,0.693,0.45,0.26, NA 
3,0.4399,0.62,0.53,0.28, FEx0.415y0.697d0.155 
3,0.4296,0.6203,0.59,0.28, FB 
3,0.4173,0.5912,0.49,0.28, NA 
3,0.421,0.6237,0.49,0.31, NA 
3,0.4005,0.5878,0.55,0.29, NA 
3,0.3904,0.572,0.53,0.29, NA 
3,0.3897,0.5687,0.54,0.29, NA 
3,0.3988,0.5603,0.44,0.25, NA 
3,0.4117,0.5552,0.44,0.24, NA 
3,0.4213,0.555,0.44,0.25, NA 
3,0.4264,0.5528,0.39,0.24, NA 
3,0.4285,0.5495,0.39,0.25, NA 
4,0.4402,0.5455,0.29,0.28, NA 
4,0.4517,0.5506,0.29,0.28, NA 
4,0.4598,0.5547,0.29,0.28, NA 
4,0.4466,0.557,0.29,0.28, FEx0.420y0.571d1.059 
4,0.4653,0.5518,0.24,0.24, FB 
4,0.4898,0.5481,0.24,0.24, NA 
4,0.5034,0.5407,0.28,0.27, FEx0.478y0.550d0.191 
4,0.5094,0.5361,0.28,0.26, FB 
4,0.5152,0.5383,0.22,0.3, NA 
4,0.5195,0.54,0.22,0.3, NA 
4,0.5272,0.5416,0.18,0.3, NA 
5,0.5316,0.5411,0.18,0.3, NA 
5,0.5325,0.5416,0.18,0.3, NA 
5,0.532,0.5418,0.17,0.3, NA 
5,0.5325,0.5371,0.19,0.25, NA 
5,0.5337,0.5358,0.18,0.25, NA 
5,0.5352,0.5348,0.18,0.25, NA 
5,0.5372,0.5338,0.18,0.25, NA 
5,0.5404,0.5291,0.19,0.26, NA 
5,0.539,0.5303,0.19,0.2, NA 
5,0.5386,0.5316,0.19,0.21, NA 
5,0.5449,0.5286,0.28,0.22, FEx0.530y0.537d0.840 
5,0.5435,0.524,0.23,0.22, FB 
5,0.5438,0.5208,0.23,0.26, NA 
5,0.5472,0.5184,0.23,0.26, NA 
5,0.5374,0.5191,0.23,0.26, NA 
5,0.5316,0.5155,0.24,0.26, NA 
6,0.5316,0.5139,0.24,0.26, NA 
6,0.5325,0.514,0.24,0.26, NA 
6,0.5307,0.5156,0.28,0.3, NA 
6,0.5273,0.5193,0.28,0.3, NA 
6,0.5249,0.5184,0.28,0.3, NA 
6,0.5283,0.5164,0.33,0.34, NA 
6,0.5982,0.5737,0.18,0.34, FEx0.535y0.518d0.741 
6,0.6181,0.5401,0.14,0.35, FB 
6,0.6167,0.5163,0.24,0.35, NA 
6,0.6039,0.5248,0.18,0.34, NA 
6,0.6001,0.5302,0.28,0.34, NA 
6,0.5976,0.5322,0.28,0.34, NA 
6,0.5134,0.6243,0.31,0.33, FEx0.607y0.529d0.387 
6,0.5322,0.6064,0.35,0.36, FB 
7,0.5413,0.6031,0.4,0.47, FEx0.532y0.606d0.074 
7,0.4351,0.758,0.5,0.35, S 
7,0.4359,0.7455,0.44,0.37, S 
7,0.4406,0.7449,0.44,0.37, FB 
7,0.442,0.7027,0.39,0.39, NA 
7,0.4654,0.7121,0.33,0.38, FEx0.441y0.724d0.163 
7,0.4503,0.7385,0.43,0.42, FB 
7,0.4142,0.7224,0.5,0.41, FEx0.450y0.739d0.145 
7,0.4076,0.7511,0.56,0.37, FB 
7,0.399,0.7456,0.55,0.42, NA 
8,0.42,0.7191,0.51,0.38, FEx0.403y0.748d0.203 
8,0.4871,0.5812,0.5,0.43, S 
8,0.4882,0.5678,0.35,0.33, FB 
8,0.5097,0.4987,0.29,0.32, FEx0.488y0.568d0.086 
8,0.5224,0.4931,0.35,0.36, FB 
8,0.4258,0.5476,0.48,0.35, FEx0.522y0.493d0.089 
8,0.4224,0.5281,0.47,0.35, FB 
8,0.4233,0.556,0.47,0.38, NA 
8,0.4059,0.5348,0.59,0.44, NA 
8,0.4668,0.5137,0.31,0.41, FEx0.417y0.540d0.239 
8,0.4944,0.4946,0.41,0.41, FB 
8,0.4979,0.4912,0.42,0.4, NA 
9,0.4758,0.5128,0.41,0.36, NA 
9,0.4711,0.5192,0.3,0.36, NA 
9,0.4673,0.5229,0.3,0.36, FEx0.485y0.504d0.322 
9,0.4805,0.5252,0.46,0.35, FB 
9,0.5014,0.5205,0.45,0.35, NA 
9,0.5093,0.5252,0.46,0.35, NA 
9,0.5138,0.5291,0.46,0.35, NA 
9,0.5177,0.5283,0.45,0.35, NA 
9,0.5189,0.5277,0.46,0.35, NA 
9,0.5662,0.5249,0.34,0.32, FEx0.507y0.526d0.395 
9,0.5773,0.5308,0.28,0.27, S 
9,0.5682,0.5284,0.28,0.31, FB 
9,0.5581,0.5376,0.33,0.26, NA 
