 Timestamp , Gazepoint X , Gazepoint Y , Pupil area (right) sq mm , Pupil area (left) sq mm , Eye event 
1,0.3604,0.8349,0.1,0.3, S 
1,0.4212,0.7474,0.1,0.22, S 
1,0.4176,0.749,0.09,0.19, S 
1,0.4319,0.7612,0.1,0.21, S 
1,0.4435,0.7681,0.07,0.13, S 
1,0.6156,0.3613,0.08,0.18, S 
1,0.5708,0.503,0.09,0.21, S 
1,0.5862,0.6084,0.1,0.25, S 
1,0.5734,0.5836,0.1,0.24, S 
2,0.553,0.4765,0.1,0.24, S 
2,0.5597,0.3642,0.1,0.23, S 
2,0.5579,0.3122,0.1,0.24, S 
2,0.5438,0.3411,0.09,0.21, S 
2,0.5567,0.4796,0.1,0.19, S 
2,0.5646,0.4859,0.1,0.21, S 
2,0.5583,0.4959,0.09,0.2, S 
2,0.5342,0.5947,0.1,0.25, S 
2,0.5394,0.5865,0.11,0.25, S 
2,0.516,0.5503,0.12,0.27, FB 
3,0.5494,0.6007,0.13,0.33, FEx0.516y0.550d0.097 
3,0.5366,0.5496,0.12,0.3, S 
3,0.5323,0.4621,0.13,0.31, S 
3,0.5274,0.4295,0.13,0.31, S 
3,0.5354,0.4819,0.12,0.29, S 
3,0.3854,0.6346,0.14,0.36, S 
3,0.2769,0.7536,0.1,0.33, S 
3,0.2923,0.8652,0.09,0.37, S 
3,0.3119,0.8939,0.14,0.39, S 
3,0.5871,0.6068,0.11,0.33, S 
4,0.5837,0.6107,0.11,0.35, S 
4,0.5765,0.6035,0.12,0.36, FB 
4,0.6209,0.6826,0.13,0.35, FEx0.576y0.603d0.192 
4,0.5975,0.6713,0.15,0.41, S 
4,0.5812,0.6171,0.15,0.41, S 
4,0.5806,0.5914,0.15,0.41, S 
4,0.6105,0.5469,0.15,0.4, S 
5,0.588,0.5461,0.16,0.4, S 
5,0.5764,0.615,0.16,0.4, S 
5,0.5805,0.6216,0.15,0.41, S 
5,0.5885,0.6403,0.15,0.4, S 
5,0.5808,0.6093,0.14,0.39, S 
5,0.5654,0.5973,0.15,0.42, S 
5,0.571,0.5826,0.16,0.41, FB 
5,0.5523,0.626,0.17,0.42, FEx0.571y0.583d0.109 
5,0.5184,0.5023,0.17,0.37, S 
6,0.5199,0.4691,0.16,0.36, S 
6,0.5361,0.4959,0.15,0.34, S 
6,0.529,0.459,0.12,0.34, S 
6,0.538,0.5412,0.15,0.38, S 
6,0.5428,0.6654,0.15,0.37, S 
6,0.5213,0.6712,0.16,0.33, S 
6,0.5936,0.5707,0.15,0.34, S 
6,0.5854,0.5748,0.14,0.32, S 
6,0.5925,0.5605,0.08,0.15, S 
8,1.0001,-0.3797,0.15,0.29, NA 
8,0.5005,0.5251,0.16,0.38, NA 
8,0.4854,0.5125,0.15,0.29, NA 
8,0.4861,0.4947,0.13,0.23, NA 
8,0.4777,0.3895,0.12,0.23, NA 
8,0.4745,0.4558,0.13,0.31, NA 
9,0.521,0.4831,0.13,0.23, NA 
9,0.5486,0.4942,0.12,0.28, NA 
9,0.5476,0.4548,0.14,0.29, NA 
9,0.5139,0.5016,0.14,0.26, NA 
9,0.5328,0.5314,0.13,0.29, NA 
9,0.5248,0.5007,0.12,0.27, NA 
9,0.5906,0.5547,0.14,0.34, NA 
9,0.5599,0.5365,0.14,0.31, NA 
