 Timestamp , Gazepoint X , Gazepoint Y , Pupil area (right) sq mm , Pupil area (left) sq mm , Eye event 
1,0.4958,0.484,0.54,0.54, NA 
1,0.4977,0.4888,0.54,0.54, NA 
1,0.4978,0.4874,0.56,0.53, NA 
1,0.4924,0.5344,0.53,0.5, FEx0.492y0.499d0.217 
1,0.4875,0.5013,0.49,0.56, S 
1,0.4789,0.4759,0.51,0.53, S 
1,0.536,0.4446,0.5,0.53, S 
1,0.5404,0.451,0.53,0.54, S 
1,0.5425,0.4487,0.53,0.55, FB 
1,0.5447,0.456,0.52,0.54, NA 
1,0.5536,0.4778,0.48,0.56, FEx0.544y0.452d0.063 
1,0.5607,0.4882,0.52,0.58, S 
1,0.5776,0.5159,0.53,0.56, S 
1,0.5824,0.5358,0.57,0.57, S 
1,0.5946,0.5741,0.56,0.58, S 
1,0.4965,0.5549,0.57,0.63, S 
1,0.4673,0.476,0.59,0.58, S 
1,0.4739,0.4921,0.55,0.5, S 
1,0.467,0.5098,0.54,0.5, FB 
1,0.4969,0.5055,0.55,0.53, FEx0.467y0.510d0.036 
1,0.5306,0.534,0.54,0.54, FEx0.507y0.504d0.165 
2,0.5353,0.5444,0.54,0.54, FB 
2,0.5355,0.5443,0.58,0.54, NA 
2,0.5401,0.5443,0.55,0.53, FEx0.535y0.544d0.067 
2,0.5404,0.5326,0.55,0.55, S 
2,0.5352,0.5273,0.56,0.55, FB 
2,0.5244,0.536,0.57,0.57, NA 
2,0.5203,0.5438,0.56,0.57, NA 
2,0.5173,0.5508,0.57,0.56, NA 
2,0.4972,0.5269,0.52,0.57, FEx0.521y0.542d0.169 
2,0.4804,0.5275,0.54,0.58, S 
2,0.4941,0.4986,0.54,0.55, NA 
2,0.4908,0.5051,0.56,0.62, NA 
2,0.4896,0.5071,0.56,0.63, NA 
2,0.4905,0.5071,0.57,0.63, NA 
2,0.4877,0.5032,0.58,0.6, NA 
2,0.4841,0.496,0.59,0.6, NA 
2,0.4818,0.4944,0.59,0.6, NA 
2,0.4799,0.4966,0.59,0.6, NA 
2,0.4802,0.4999,0.59,0.6, NA 
2,0.4801,0.501,0.59,0.6, NA 
3,0.4826,0.4982,0.57,0.59, NA 
3,0.4827,0.5534,0.56,0.54, FEx0.487y0.498d0.611 
3,0.4781,0.5243,0.57,0.56, S 
3,0.4794,0.5102,0.55,0.58, S 
3,0.4871,0.5776,0.53,0.51, FB 
3,0.4949,0.6104,0.54,0.5, S 
3,0.4998,0.6329,0.55,0.5, FB 
3,0.5053,0.6172,0.55,0.49, NA 
3,0.5054,0.5754,0.55,0.55, FEx0.503y0.625d0.065 
3,0.4995,0.5436,0.52,0.56, FB 
3,0.4978,0.5327,0.54,0.56, NA 
3,0.4951,0.5259,0.55,0.57, FEx0.499y0.538d0.067 
3,0.4947,0.5207,0.55,0.58, FB 
3,0.4947,0.5197,0.55,0.58, NA 
3,0.5155,0.4726,0.59,0.58, FEx0.495y0.520d0.060 
3,0.5082,0.4563,0.53,0.6, NA 
3,0.5086,0.4587,0.54,0.59, NA 
3,0.5093,0.4598,0.54,0.59, NA 
4,0.5083,0.4605,0.54,0.59, NA 
4,0.5114,0.4608,0.58,0.6, NA 
4,0.5152,0.4612,0.58,0.6, NA 
4,0.5173,0.4641,0.57,0.6, NA 
4,0.5201,0.468,0.57,0.61, NA 
4,0.5255,0.4809,0.56,0.57, FEx0.512y0.459d0.346 
4,0.5281,0.4867,0.56,0.57, FB 
4,0.5305,0.4824,0.56,0.57, NA 
4,0.523,0.4884,0.58,0.59, NA 
4,0.5167,0.4984,0.57,0.59, NA 
4,0.516,0.4938,0.58,0.63, NA 
4,0.5102,0.5165,0.57,0.55, FEx0.523y0.490d0.140 
4,0.5089,0.5197,0.58,0.62, FB 
4,0.5058,0.5298,0.56,0.57, NA 
4,0.5044,0.5397,0.57,0.58, NA 
4,0.5005,0.5464,0.54,0.58, NA 
4,0.499,0.5476,0.55,0.58, NA 
4,0.4975,0.5479,0.55,0.58, NA 
4,0.4967,0.546,0.55,0.58, NA 
4,0.4992,0.5434,0.54,0.58, FEx0.502y0.539d0.192 
4,0.4988,0.5424,0.53,0.59, FB 
4,0.4979,0.537,0.52,0.59, NA 
4,0.4965,0.5557,0.5,0.58, NA 
4,0.4992,0.561,0.5,0.58, NA 
4,0.5036,0.5701,0.5,0.58, FEx0.498y0.546d0.139 
4,0.4974,0.5607,0.5,0.55, FB 
4,0.4795,0.5471,0.52,0.52, NA 
4,0.4751,0.5484,0.52,0.52, NA 
4,0.473,0.5512,0.52,0.52, NA 
4,0.4734,0.5509,0.52,0.52, NA 
4,0.4739,0.5518,0.49,0.53, NA 
