 Timestamp , Gazepoint X , Gazepoint Y , Pupil area (right) sq mm , Pupil area (left) sq mm , Eye event 
1,0.396,0.4335,0.45,0.24, S 
1,0.2446,0.3732,0.51,0.25, S 
1,0.1162,0.4253,0.44,0.23, S 
1,0.1489,0.436,0.42,0.25, S 
1,0.1854,0.456,0.38,0.26, S 
1,0.2115,0.4758,0.53,0.24, S 
1,0.43,0.4482,0.48,0.25, S 
1,0.4675,0.4388,0.36,0.29, S 
1,0.9129,0.355,0.31,0.22, S 
1,0.8466,0.3624,0.41,0.25, S 
1,0.7501,0.3842,0.38,0.22, S 
1,0.6852,0.4157,0.42,0.28, S 
2,0.6758,0.4429,0.43,0.3, S 
2,0.6476,0.3922,0.45,0.29, S 
2,0.6053,0.4072,0.4,0.29, S 
2,0.5789,0.4784,0.44,0.3, S 
2,0.5824,0.4386,0.45,0.3, FB 
2,0.6292,0.4273,0.42,0.28, FEx0.582y0.439d0.097 
2,0.6652,0.4043,0.39,0.28, S 
2,0.6752,0.4053,0.42,0.31, FB 
3,0.6736,0.4167,0.48,0.25, FEx0.675y0.405d0.082 
3,0.4656,0.4906,0.45,0.26, S 
3,0.3527,0.4644,0.47,0.23, S 
3,0.4253,0.5439,0.49,0.27, S 
3,0.2711,0.4383,0.47,0.24, S 
3,0.211,0.3838,0.43,0.28, S 
3,0.147,0.407,0.41,0.25, S 
4,0.0809,0.4089,0.43,0.31, S 
4,0.0809,0.4089,0.36,0.22, S 
4,0.7503,0.3926,0.4,0.23, S 
4,0.6804,0.4155,0.43,0.31, S 
4,0.6496,0.4129,0.44,0.3, S 
4,0.5994,0.4225,0.42,0.32, S 
4,0.5106,0.4299,0.48,0.27, S 
4,0.5077,0.4559,0.47,0.28, FB 
4,0.521,0.4546,0.46,0.31, FEx0.508y0.456d0.078 
4,0.5574,0.4593,0.44,0.29, S 
4,0.5631,0.4404,0.44,0.29, FB 
4,0.5695,0.4248,0.44,0.3, NA 
5,0.5709,0.4007,0.45,0.3, NA 
5,0.6474,0.3818,0.42,0.26, FEx0.568y0.422d0.484 
5,0.6361,0.4356,0.4,0.29, S 
5,0.6079,0.443,0.38,0.28, S 
5,0.6558,0.3984,0.36,0.27, S 
5,0.6412,0.2598,0.4,0.25, S 
5,0.5221,0.2337,0.4,0.29, S 
6,0.4341,0.1857,0.44,0.25, S 
6,0.2395,0.29,0.44,0.22, S 
6,0.3116,0.3819,0.49,0.23, S 
6,0.3379,0.4161,0.44,0.23, S 
6,0.3653,0.4644,0.45,0.25, S 
6,0.3178,0.6618,0.51,0.25, S 
6,0.4447,0.764,0.51,0.3, S 
6,0.3358,0.7246,0.5,0.26, S 
7,0.3657,0.6778,0.49,0.28, S 
7,0.3882,0.6334,0.52,0.28, S 
7,0.4309,0.6366,0.47,0.26, S 
7,0.4989,0.6178,0.44,0.25, S 
7,0.4607,0.5123,0.47,0.3, S 
7,0.4345,0.4666,0.49,0.26, S 
7,0.3945,0.5084,0.49,0.27, S 
7,0.3594,0.5249,0.39,0.28, S 
8,0.7112,0.4552,0.39,0.26, S 
8,0.653,0.3969,0.44,0.31, S 
8,0.7811,0.4674,0.48,0.26, S 
8,0.7453,0.4757,0.47,0.27, S 
8,0.7939,0.462,0.47,0.29, S 
9,0.7465,0.4629,0.45,0.27, S 
9,0.7866,0.424,0.45,0.3, S 
9,0.7897,0.4024,0.5,0.3, S 
9,0.7705,0.4012,0.47,0.27, S 
9,0.7761,0.3761,0.53,0.3, S 
9,0.8413,0.4266,0.52,0.28, S 
9,0.8846,0.4579,0.65,0.27, S 
