 Timestamp , Gazepoint X , Gazepoint Y , Pupil area (right) sq mm , Pupil area (left) sq mm , Eye event 
1,0.5815,0.4897,0.36,0.33, FB 
1,0.5846,0.4893,0.36,0.33, NA 
1,0.5862,0.4865,0.39,0.36, NA 
1,0.5837,0.4916,0.39,0.36, NA 
1,0.5801,0.4952,0.38,0.36, NA 
1,0.5828,0.4939,0.4,0.39, NA 
1,0.5838,0.4903,0.4,0.39, NA 
1,0.5833,0.4865,0.4,0.39, NA 
1,0.5829,0.4882,0.39,0.38, NA 
1,0.5875,0.4923,0.42,0.33, NA 
1,0.5913,0.4946,0.42,0.33, NA 
2,0.5917,0.4944,0.42,0.33, NA 
2,0.5922,0.4935,0.42,0.33, NA 
2,0.5871,0.4885,0.42,0.32, FEx0.586y0.491d1.223 
2,0.6008,0.4964,0.48,0.49, FB 
2,0.6125,0.5036,0.48,0.49, NA 
2,0.6108,0.501,0.48,0.49, FEx0.607y0.500d0.297 
2,0.6163,0.4979,0.49,0.52, FB 
2,0.6235,0.5026,0.48,0.53, NA 
2,0.6287,0.504,0.49,0.52, NA 
3,0.6394,0.5027,0.47,0.54, FEx0.623y0.502d0.377 
3,0.6444,0.5049,0.46,0.56, FB 
3,0.6465,0.5074,0.63,0.58, FEx0.644y0.505d0.337 
3,0.4097,0.5298,0.72,0.57, S 
3,0.4314,0.5314,0.59,0.53, S 
3,0.4226,0.5004,0.57,0.44, FB 
4,0.4431,0.5127,0.35,0.34, FEx0.423y0.500d0.193 
4,0.4489,0.5092,0.3,0.27, S 
4,0.4623,0.5063,0.3,0.15, S 
4,0.4692,0.4842,0.2,0.15, S 
4,0.4813,0.4824,0.21,0.01, S 
5,0.4865,0.5074,0.2,0.06, FB 
5,0.4998,0.4927,0.21,0.17, FEx0.487y0.507d0.166 
5,0.5044,0.5014,0.28,0.24, FB 
5,0.5137,0.4999,0.32,0.38, FEx0.504y0.501d0.093 
5,0.5251,0.4958,0.37,0.42, FB 
5,0.5376,0.5071,0.39,0.39, NA 
6,0.535,0.5085,0.43,0.42, NA 
6,0.5305,0.5067,0.4,0.45, NA 
6,0.545,0.4936,0.44,0.53, FEx0.532y0.504d0.296 
6,0.5577,0.5096,0.43,0.58, FB 
6,0.5571,0.5034,0.41,0.58, NA 
6,0.5576,0.5079,0.46,0.5, NA 
6,0.5643,0.5025,0.37,0.49, NA 
6,0.5692,0.4973,0.37,0.49, NA 
6,0.5694,0.4969,0.34,0.47, NA 
6,0.5681,0.4962,0.34,0.47, NA 
6,0.5671,0.4956,0.34,0.47, NA 
6,0.5773,0.4905,0.24,0.34, FEx0.564y0.501d0.506 
6,0.5805,0.5122,0.29,0.29, FB 
6,0.5741,0.5111,0.26,0.28, NA 
6,0.5634,0.5006,0.26,0.3, NA 
7,0.5791,0.4872,0.24,0.22, FEx0.573y0.508d0.230 
7,0.5867,0.4838,0.24,0.22, FB 
7,0.597,0.4912,0.27,0.24, NA 
7,0.6041,0.4942,0.3,0.27, NA 
7,0.6041,0.4925,0.27,0.3, FEx0.596y0.490d0.293 
7,0.6074,0.4984,0.32,0.24, FB 
7,0.612,0.5075,0.32,0.23, NA 
7,0.6159,0.5162,0.22,0.24, NA 
7,0.6128,0.5194,0.22,0.24, NA 
7,0.6082,0.5221,0.22,0.24, NA 
8,0.6051,0.5196,0.22,0.23, NA 
8,0.6002,0.5148,0.22,0.23, NA 
8,0.5964,0.5118,0.22,0.23, NA 
8,0.6024,0.5108,0.25,0.3, NA 
8,0.6084,0.5104,0.25,0.3, NA 
8,0.6115,0.5108,0.25,0.29, NA 
8,0.6165,0.5095,0.26,0.3, NA 
8,0.6185,0.5091,0.23,0.3, NA 
8,0.6168,0.5075,0.22,0.3, NA 
9,0.6128,0.5055,0.23,0.29, NA 
9,0.6117,0.5056,0.23,0.29, NA 
9,0.6175,0.5084,0.15,0.14, NA 
9,0.6213,0.5103,0.15,0.13, NA 
9,0.6217,0.511,0.15,0.13, NA 
9,0.6135,0.5042,0.15,0.12, FEx0.611y0.511d2.147 
9,0.6327,0.4989,0.11,0.11, FB 
9,0.6539,0.4952,0.0,0.0, FEx0.633y0.499d0.170 
