 Timestamp , Gazepoint X , Gazepoint Y , Pupil area (right) sq mm , Pupil area (left) sq mm , Eye event 
1,0.5015,0.5864,0.39,0.48, NA 
1,0.5005,0.5929,0.39,0.48, NA 
1,0.5003,0.5952,0.43,0.47, NA 
1,0.5002,0.5936,0.43,0.47, NA 
1,0.4995,0.5957,0.43,0.48, NA 
1,0.4986,0.5961,0.43,0.47, NA 
1,0.5005,0.5957,0.43,0.47, NA 
1,0.5021,0.5959,0.43,0.47, NA 
1,0.4769,0.713,0.48,0.49, FEx0.500y0.591d1.016 
1,0.4849,0.7384,0.49,0.51, S 
1,0.4728,0.7232,0.47,0.49, S 
2,0.4643,0.7221,0.39,0.52, S 
2,0.4159,0.4777,0.41,0.49, S 
2,0.424,0.5181,0.4,0.47, S 
2,0.4625,0.7057,0.49,0.49, S 
2,0.4913,0.8482,0.42,0.43, BE 
3,0.4913,0.7055,0.46,0.51, S 
3,0.486,0.7325,0.49,0.53, FB 
3,0.4832,0.7306,0.48,0.51, NA 
3,0.4615,0.5494,0.43,0.48, FEx0.485y0.731d0.246 
3,0.4743,0.5207,0.46,0.52, FB 
3,0.4653,0.6839,0.48,0.51, FEx0.474y0.521d0.094 
3,0.4667,0.6886,0.48,0.5, S 
3,0.4514,0.6741,0.47,0.5, FB 
3,0.459,0.6792,0.49,0.49, NA 
4,0.5051,0.6775,0.49,0.45, FEx0.455y0.677d0.215 
4,0.5264,0.6809,0.45,0.47, FB 
4,0.526,0.6785,0.47,0.48, NA 
4,0.5191,0.6648,0.47,0.51, NA 
4,0.4875,0.6289,0.42,0.52, FEx0.524y0.675d0.290 
4,0.4032,0.5002,0.35,0.51, S 
4,0.3871,0.3553,0.32,0.49, S 
4,0.4121,0.3462,0.42,0.48, S 
4,0.422,0.3799,0.41,0.52, S 
4,0.432,0.3934,0.45,0.58, S 
5,0.495,0.6038,0.46,0.48, S 
5,0.4839,0.6214,0.44,0.46, S 
5,0.5092,0.5896,0.42,0.5, S 
5,0.5096,0.6223,0.43,0.49, S 
5,0.5069,0.6379,0.46,0.5, FB 
5,0.5064,0.5296,0.43,0.57, FEx0.507y0.638d0.134 
5,0.5186,0.5097,0.45,0.6, S 
5,0.5571,0.47,0.43,0.54, S 
6,0.5569,0.4552,0.44,0.53, S 
6,0.5621,0.5541,0.5,0.5, S 
6,0.5568,0.5195,0.48,0.53, FB 
6,0.5652,0.5184,0.45,0.52, NA 
6,0.5382,0.5575,0.45,0.52, NA 
6,0.5605,0.5696,0.43,0.54, FEx0.554y0.531d0.372 
6,0.476,0.6757,0.47,0.39, S 
6,0.4706,0.6572,0.43,0.44, S 
7,0.4509,0.6656,0.37,0.49, S 
7,0.4582,0.3788,0.36,0.47, S 
7,0.4725,0.3765,0.41,0.51, S 
7,0.488,0.3595,0.48,0.48, S 
7,0.4965,0.8884,0.6,0.63, S 
7,0.5101,0.9163,0.54,0.61, S 
7,0.4506,0.9676,0.51,0.64, S 
7,0.4662,0.9812,0.54,0.61, S 
8,0.6016,0.9118,0.47,0.67, S 
8,0.5588,0.8422,0.56,0.74, S 
8,0.6145,0.716,0.39,0.62, S 
8,0.5841,0.6702,0.46,0.61, S 
8,0.5985,0.5797,0.43,0.49, S 
8,0.5882,0.5574,0.44,0.55, S 
8,0.577,0.5733,0.45,0.63, S 
8,0.5853,0.6152,0.45,0.58, S 
8,0.6201,0.6159,0.42,0.59, S 
9,0.645,0.7135,0.35,0.61, S 
9,0.6416,0.6925,0.36,0.69, S 
9,0.6526,0.6866,0.36,0.66, S 
9,0.6602,0.693,0.36,0.64, S 
