 Timestamp , Gazepoint X , Gazepoint Y , Pupil area (right) sq mm , Pupil area (left) sq mm , Eye event 
1,0.509,0.3673,0.32,0.35, S 
1,0.5076,0.3872,0.34,0.31, S 
1,0.5079,0.362,0.33,0.3, S 
1,0.5201,0.3647,0.31,0.31, S 
1,0.5299,0.3623,0.3,0.21, S 
1,0.2971,0.4091,0.3,0.26, S 
1,0.3444,0.393,0.31,0.28, S 
1,0.3115,0.4018,0.32,0.24, S 
1,0.1902,0.478,0.26,0.22, S 
1,0.226,0.4168,0.3,0.25, S 
2,0.2272,0.3874,0.31,0.23, S 
2,0.5092,0.3602,0.32,0.3, S 
2,0.6173,0.2717,0.33,0.3, S 
2,0.583,0.3403,0.32,0.33, S 
2,0.591,0.3651,0.33,0.34, S 
2,0.5977,0.3622,0.35,0.33, S 
2,0.635,0.3256,0.3,0.3, S 
2,0.5547,0.3675,0.34,0.3, S 
2,0.4898,0.3273,0.33,0.28, S 
3,0.503,0.32,0.3,0.29, S 
3,0.5402,0.3495,0.29,0.31, S 
3,0.553,0.3255,0.3,0.28, S 
3,0.5212,0.3489,0.35,0.31, S 
3,0.5023,0.3627,0.33,0.24, S 
3,0.23,0.3453,0.32,0.26, S 
3,0.2781,0.355,0.33,0.26, S 
3,0.2674,0.3991,0.39,0.29, S 
3,0.2851,0.4361,0.38,0.26, S 
3,0.2978,0.4722,0.21,0.27, BE 
3,0.6106,0.4051,0.32,0.37, S 
4,0.5995,0.3792,0.38,0.38, S 
4,0.6629,0.3217,0.39,0.38, S 
4,0.7029,0.1708,0.38,0.36, S 
4,0.6888,0.197,0.36,0.35, S 
4,0.6897,0.1827,0.43,0.35, S 
4,0.8721,0.1779,0.44,0.35, S 
4,0.8477,0.2091,0.44,0.35, S 
4,0.8428,0.197,0.42,0.36, S 
4,0.8316,0.2056,0.39,0.35, S 
4,0.7894,0.1722,0.33,0.3, S 
5,0.7973,0.2581,0.24,0.33, S 
5,0.7942,0.315,0.32,0.3, BE 
5,0.6258,0.227,0.3,0.32, S 
5,0.6314,0.2518,0.28,0.33, S 
5,0.6371,0.2448,0.29,0.32, S 
5,0.6182,0.2616,0.33,0.34, S 
5,0.6217,0.2665,0.34,0.34, S 
5,0.5746,0.263,0.34,0.35, S 
5,0.5465,0.2924,0.34,0.35, S 
6,0.533,0.2996,0.35,0.33, S 
6,0.5398,0.3034,0.36,0.32, S 
6,0.54,0.3091,0.35,0.27, S 
6,0.3126,0.3181,0.35,0.26, S 
6,0.2978,0.3402,0.35,0.25, FB 
6,0.2857,0.3046,0.36,0.26, FEx0.298y0.340d0.106 
6,0.271,0.2829,0.35,0.34, BE 
7,0.4899,0.2844,0.36,0.35, S 
7,0.4915,0.2782,0.36,0.37, S 
7,0.5064,0.3493,0.4,0.4, S 
7,0.5101,0.392,0.39,0.41, S 
7,0.5456,0.4064,0.43,0.39, S 
7,0.5493,0.3558,0.41,0.38, S 
7,0.5468,0.3477,0.37,0.37, S 
7,0.5427,0.3394,0.34,0.35, S 
7,0.5413,0.3653,0.35,0.34, S 
7,0.5395,0.3817,0.37,0.23, S 
7,0.3216,0.4739,0.33,0.25, S 
7,0.304,0.5066,0.33,0.28, S 
8,0.3009,0.5367,0.33,0.26, S 
8,0.3011,0.5155,0.31,0.23, S 
8,0.2862,0.4932,0.3,0.24, S 
8,0.283,0.5069,0.31,0.27, S 
8,0.2775,0.512,0.33,0.29, BE 
8,0.4933,0.3694,0.35,0.3, S 
8,0.5798,0.3489,0.35,0.33, S 
8,0.5623,0.3513,0.32,0.33, S 
8,0.5402,0.3503,0.36,0.35, S 
8,0.525,0.3773,0.35,0.34, S 
8,0.5114,0.4221,0.32,0.3, S 
9,0.4974,0.4601,0.23,0.18, S 
9,0.1745,0.4407,0.21,0.19, S 
9,0.1714,0.4401,0.21,0.19, S 
9,0.1226,0.5398,0.16,0.17, S 
9,0.1365,0.5756,0.22,0.18, S 
9,0.1362,0.6212,0.27,0.21, S 
