 Timestamp , Gazepoint X , Gazepoint Y , Pupil area (right) sq mm , Pupil area (left) sq mm , Eye event 
1,0.3361,0.6145,0.65,0.64, S 
1,0.3209,0.6555,0.64,0.68, FB 
1,0.3621,0.7139,0.55,0.68, FEx0.321y0.656d0.108 
1,0.3871,0.7628,0.53,0.74, BE 
1,0.4078,0.6998,0.58,0.71, S 
1,0.4137,0.693,0.63,0.75, FB 
1,0.4233,0.6911,0.6,0.75, NA 
1,0.4219,0.7345,0.61,0.75, FEx0.419y0.692d0.202 
2,0.4085,0.7081,0.56,0.71, S 
2,0.3966,0.6999,0.57,0.7, FB 
2,0.4062,0.7025,0.55,0.67, FEx0.397y0.700d0.137 
2,0.4358,0.7056,0.54,0.71, S 
2,0.4486,0.69,0.55,0.73, FB 
2,0.4629,0.6848,0.63,0.76, FEx0.449y0.690d0.097 
2,0.4734,0.6911,0.63,0.75, FB 
2,0.4654,0.6886,0.51,0.7, FEx0.473y0.691d0.082 
2,0.4556,0.6975,0.51,0.71, FB 
3,0.4549,0.7056,0.62,0.71, NA 
3,0.4406,0.7072,0.63,0.69, FEx0.455y0.702d0.272 
3,0.4875,0.6951,0.59,0.71, S 
3,0.5063,0.6935,0.57,0.7, S 
3,0.5061,0.7132,0.59,0.69, FB 
4,0.5019,0.6972,0.57,0.69, NA 
4,0.5245,0.7254,0.52,0.67, FEx0.504y0.705d0.188 
4,0.533,0.6953,0.55,0.68, FB 
4,0.5502,0.6775,0.51,0.68, FEx0.533y0.695d0.104 
4,0.5707,0.6705,0.48,0.66, FB 
4,0.5832,0.6621,0.49,0.63, NA 
4,0.5837,0.6677,0.51,0.65, NA 
4,0.5842,0.6802,0.49,0.64, NA 
4,0.5734,0.6791,0.49,0.64, FEx0.581y0.670d0.378 
4,0.5838,0.6799,0.52,0.68, FB 
5,0.592,0.6845,0.52,0.62, FEx0.584y0.680d0.063 
5,0.4639,0.7054,0.62,0.7, S 
5,0.352,0.7152,0.57,0.67, S 
5,0.3623,0.7226,0.51,0.69, FB 
5,0.3774,0.7311,0.65,0.66, FEx0.362y0.723d0.102 
5,0.3807,0.7319,0.62,0.66, FB 
5,0.4033,0.7216,0.59,0.69, FEx0.381y0.732d0.106 
5,0.4173,0.7142,0.59,0.7, FB 
5,0.4157,0.6866,0.6,0.74, FEx0.417y0.714d0.102 
6,0.4107,0.6663,0.62,0.72, S 
6,0.3913,0.6459,0.61,0.76, S 
6,0.3806,0.6415,0.61,0.71, FB 
6,0.323,0.6693,0.65,0.68, FEx0.381y0.642d0.112 
6,0.3328,0.6458,0.63,0.68, FB 
6,0.3279,0.638,0.71,0.73, FEx0.333y0.646d0.091 
6,0.359,0.6567,0.6,0.72, S 
6,0.3663,0.6572,0.59,0.73, FB 
6,0.357,0.6669,0.58,0.72, NA 
6,0.3722,0.6653,0.64,0.71, NA 
7,0.3819,0.6697,0.67,0.76, NA 
7,0.3797,0.6787,0.68,0.76, NA 
7,0.3836,0.6623,0.6,0.72, NA 
7,0.3823,0.6474,0.62,0.73, FEx0.373y0.666d0.561 
7,0.3767,0.6423,0.62,0.73, FB 
7,0.3878,0.6434,0.64,0.71, FEx0.377y0.642d0.144 
7,0.3898,0.6296,0.65,0.72, FB 
7,0.4242,0.6049,0.66,0.71, FEx0.390y0.630d0.128 
7,0.461,0.6092,0.6,0.69, S 
8,0.4605,0.6234,0.63,0.66, FB 
8,0.4093,0.6177,0.63,0.66, FEx0.461y0.623d0.124 
8,0.4012,0.6251,0.63,0.68, FB 
8,0.4425,0.635,0.62,0.7, FEx0.401y0.625d0.129 
8,0.4604,0.6455,0.62,0.7, FB 
8,0.462,0.6382,0.62,0.68, NA 
8,0.4636,0.6397,0.65,0.67, NA 
9,0.4668,0.6423,0.56,0.71, NA 
9,0.4953,0.6171,0.56,0.7, S 
9,0.5174,0.6066,0.54,0.71, S 
9,0.541,0.6112,0.54,0.67, S 
