 Timestamp , Gazepoint X , Gazepoint Y , Pupil area (right) sq mm , Pupil area (left) sq mm , Eye event 
1,0.5278,0.3716,0.62,0.62, BE 
1,0.5278,0.3716,0.79,0.59, BE 
2,0.0668,0.5131,0.7,0.62, BE 
2,0.4038,0.643,0.71,0.66, S 
2,0.3805,0.6395,0.7,0.58, S 
2,0.3872,0.6182,0.7,0.61, FB 
2,0.3898,0.6037,0.7,0.61, NA 
2,0.5123,0.5698,0.77,0.6, S 
2,0.5255,0.565,0.67,0.67, S 
3,0.2424,0.5226,0.74,0.57, S 
3,0.2916,0.5451,0.71,0.62, S 
3,0.2992,0.5578,0.79,0.58, BE 
3,0.2113,0.4541,0.71,0.56, S 
3,0.1658,0.5219,0.64,0.4, S 
3,0.2129,0.4876,0.72,0.54, S 
3,0.1625,0.5042,0.66,0.52, S 
4,0.3076,0.5335,0.72,0.6, S 
4,0.4502,0.587,0.87,0.59, S 
4,0.3826,0.576,0.77,0.61, S 
4,0.3681,0.5801,0.56,0.62, BB 
4,0.3681,0.5801,0.69,0.52, BE 
4,0.4724,0.64,0.71,0.53, S 
4,0.5584,0.6041,0.73,0.56, S 
5,0.6163,0.5887,0.64,0.58, BE 
5,0.5783,0.6004,0.64,0.58, S 
5,0.527,0.5682,0.59,0.55, S 
5,0.4925,0.5495,0.68,0.53, BB 
5,0.4563,0.5298,0.5,0.45, BE 
5,0.6773,0.4725,0.57,0.67, S 
5,0.6908,0.4686,0.79,0.49, BE 
6,0.6908,0.4686,0.35,0.42, BB 
6,0.3046,0.4683,0.31,0.55, NA 
6,0.3168,0.4808,0.39,0.53, BE 
6,0.3168,0.4808,0.56,0.54, BB 
6,0.3168,0.4808,0.76,0.59, BE 
6,0.294,0.4969,0.74,0.61, S 
6,0.2582,0.5208,0.8,0.64, S 
7,0.1842,0.5432,0.63,0.57, S 
7,0.189,0.4948,0.61,0.56, S 
7,0.2293,0.5038,0.73,0.6, S 
7,0.1936,0.4926,0.86,0.5, S 
7,0.1738,0.4837,0.76,0.64, BE 
7,0.1738,0.4837,0.75,0.55, BE 
7,0.4217,0.5728,0.79,0.53, S 
7,0.5341,0.5774,0.87,0.63, S 
8,0.5475,0.5518,0.83,0.62, S 
8,0.5775,0.5314,0.67,0.67, BE 
8,0.6154,0.5666,0.79,0.62, S 
8,0.6047,0.5631,0.72,0.58, FB 
9,0.4203,0.6232,0.76,0.59, NA 
9,0.4322,0.5829,0.68,0.56, S 
9,0.4182,0.5724,0.46,0.64, S 
9,0.6384,0.5341,0.43,0.39, S 
9,0.604,0.5463,0.68,0.56, S 
9,0.5908,0.6055,0.58,0.67, S 
