 Timestamp , Gazepoint X , Gazepoint Y , Pupil area (right) sq mm , Pupil area (left) sq mm , Eye event 
1,0.4934,0.6148,0.51,0.53, S 
1,0.5099,0.6386,0.49,0.54, S 
1,0.502,0.6438,0.5,0.56, FB 
1,0.5151,0.6312,0.5,0.58, FEx0.502y0.644d0.093 
1,0.4723,0.7726,0.51,0.66, S 
1,0.4855,0.7153,0.54,0.65, S 
1,0.4802,0.6329,0.53,0.59, S 
1,0.4768,0.5687,0.47,0.54, S 
1,0.5065,0.4236,0.5,0.54, S 
1,0.495,0.4215,0.51,0.56, S 
1,0.5054,0.4526,0.5,0.54, S 
2,0.5229,0.5235,0.48,0.54, S 
2,0.5156,0.4938,0.5,0.5, S 
2,0.4991,0.5023,0.5,0.52, FB 
2,0.4799,0.5164,0.49,0.53, FEx0.499y0.502d0.097 
2,0.4975,0.4274,0.52,0.56, S 
2,0.4322,0.3483,0.45,0.55, S 
2,0.45,0.2014,0.46,0.51, S 
2,0.4491,0.2528,0.44,0.52, S 
2,0.4639,0.3425,0.45,0.54, S 
2,0.5208,0.5488,0.51,0.65, S 
3,0.5653,0.7177,0.52,0.59, S 
3,0.614,0.4919,0.5,0.63, S 
3,0.65,0.3746,0.44,0.5, S 
3,0.6622,0.035,0.41,0.51, S 
4,0.6479,0.0525,0.42,0.51, S 
4,0.6244,0.1156,0.4,0.57, S 
4,0.6012,0.1606,0.48,0.55, S 
4,0.4729,0.4994,0.45,0.51, S 
4,0.498,0.4851,0.47,0.53, S 
4,0.4814,0.4537,0.48,0.54, S 
4,0.502,0.5978,0.5,0.59, S 
4,0.506,0.6355,0.5,0.63, S 
4,0.5403,0.7715,0.51,0.64, S 
4,0.5458,0.7408,0.53,0.64, S 
5,0.5077,0.7394,0.54,0.61, S 
5,0.5131,0.6929,0.55,0.68, S 
5,0.4505,0.5232,0.52,0.55, S 
5,0.4533,0.4413,0.52,0.56, S 
5,0.444,0.4579,0.51,0.56, FB 
5,0.4399,0.4563,0.52,0.57, NA 
5,0.455,0.3115,0.49,0.6, FEx0.442y0.457d0.200 
5,0.4637,0.3254,0.49,0.57, S 
5,0.4446,0.3299,0.5,0.59, FB 
6,0.465,0.2564,0.48,0.54, FEx0.445y0.330d0.103 
6,0.4543,0.1802,0.46,0.54, S 
6,0.4347,0.1784,0.44,0.52, S 
6,0.4101,0.3483,0.46,0.55, S 
6,0.3879,0.4672,0.47,0.59, S 
6,0.4185,0.7831,0.45,0.55, S 
6,0.3929,0.7294,0.44,0.57, S 
6,0.3745,0.7225,0.45,0.5, S 
6,0.3745,0.7225,0.37,0.48, S 
6,0.0948,0.2992,0.31,0.45, S 
7,0.0037,0.3484,0.38,0.43, S 
7,0.0037,0.3484,0.42,0.56, S 
7,0.6606,0.3579,0.41,0.57, S 
7,0.6158,0.3734,0.42,0.56, S 
7,0.5902,0.5547,0.44,0.58, S 
7,0.6324,0.6906,0.44,0.58, S 
8,0.6156,0.6465,0.47,0.57, S 
8,0.5882,0.6157,0.48,0.55, S 
8,0.5878,0.6041,0.48,0.59, S 
8,0.5523,0.5743,0.5,0.61, S 
8,0.5525,0.6913,0.5,0.61, S 
8,0.5278,0.681,0.53,0.64, S 
8,0.5367,0.6542,0.53,0.62, S 
8,0.4957,0.5737,0.52,0.56, S 
8,0.4924,0.565,0.52,0.56, S 
8,0.4768,0.5169,0.53,0.57, FB 
9,0.469,0.528,0.53,0.57, FEx0.477y0.517d0.094 
9,0.4808,0.5184,0.53,0.56, S 
9,0.4866,0.5033,0.52,0.58, S 
9,0.4786,0.4382,0.52,0.58, S 
9,0.4914,0.4295,0.51,0.6, FB 
9,0.5152,0.468,0.48,0.57, FEx0.491y0.430d0.124 
9,0.5399,0.6307,0.51,0.61, S 
9,0.545,0.6212,0.66,0.65, S 
9,0.5295,0.6257,0.62,0.78, S 
