 Timestamp , Gazepoint X , Gazepoint Y , Pupil area (right) sq mm , Pupil area (left) sq mm , Eye event 
1,0.3279,0.597,0.56,0.28, FB 
1,0.3113,0.6028,0.61,0.27, FEx0.328y0.597d0.107 
1,0.2841,0.6196,0.47,0.34, S 
1,0.6237,0.4556,0.53,0.36, S 
1,0.6161,0.4732,0.51,0.38, S 
1,0.6527,0.4422,0.45,0.35, S 
1,0.6151,0.4507,0.49,0.33, S 
1,0.6189,0.4172,0.48,0.33, S 
1,0.6169,0.38,0.47,0.35, S 
1,0.6205,0.3466,0.48,0.36, FB 
1,0.4692,0.4036,0.55,0.34, FEx0.621y0.347d0.107 
2,0.5,0.4079,0.55,0.35, S 
2,0.4953,0.4375,0.54,0.31, S 
2,0.5602,0.4565,0.52,0.35, S 
2,0.5971,0.4383,0.51,0.35, S 
2,0.6363,0.4304,0.54,0.3, S 
2,0.3636,0.3867,0.56,0.3, S 
2,0.3588,0.3876,0.62,0.26, S 
2,0.2592,0.3505,0.57,0.27, S 
2,0.2592,0.3846,0.51,0.28, S 
2,0.2787,0.3438,0.55,0.28, S 
3,0.2941,0.324,0.52,0.33, S 
3,0.4037,0.4273,0.52,0.32, S 
3,0.3385,0.3947,0.57,0.31, S 
3,0.3641,0.5392,0.73,0.28, S 
3,0.2866,0.568,0.61,0.3, S 
3,0.2538,0.5899,0.63,0.32, S 
3,0.3173,0.5403,0.75,0.33, S 
3,0.3534,0.5117,0.5,0.33, S 
3,0.6842,0.4358,0.5,0.32, S 
4,0.7692,0.4103,0.46,0.27, S 
4,0.7213,0.4696,0.45,0.31, S 
4,0.7045,0.5082,0.55,0.32, S 
4,0.4431,0.5182,0.62,0.31, S 
4,0.4578,0.5313,0.61,0.32, FB 
4,0.3457,0.5087,0.63,0.28, FEx0.458y0.531d0.092 
4,0.3751,0.5234,0.6,0.27, S 
4,0.3955,0.524,0.6,0.31, S 
4,0.5156,0.4644,0.53,0.29, S 
5,0.5539,0.4392,0.55,0.35, S 
5,0.606,0.4095,0.56,0.3, S 
5,0.2847,0.5911,0.62,0.32, S 
5,0.3348,0.5569,0.7,0.28, S 
5,0.3781,0.5277,0.67,0.32, S 
5,0.4079,0.5343,0.65,0.36, S 
5,0.4373,0.5697,0.69,0.36, S 
5,0.4286,0.566,0.72,0.36, FB 
6,0.4078,0.5624,0.7,0.36, FEx0.429y0.566d0.116 
6,0.3961,0.5596,0.7,0.34, FB 
6,0.4025,0.5469,0.7,0.34, FEx0.396y0.560d0.082 
6,0.3964,0.5431,0.71,0.35, FB 
6,0.3797,0.5465,0.55,0.34, FEx0.396y0.543d0.110 
6,0.6724,0.4078,0.56,0.35, S 
6,0.6334,0.3878,0.55,0.34, S 
6,0.5609,0.4144,0.57,0.32, S 
6,0.4339,0.3951,0.6,0.31, S 
6,0.3244,0.3858,0.58,0.32, S 
7,0.5953,0.4354,0.62,0.41, S 
7,0.5915,0.43,0.58,0.34, S 
7,0.5846,0.3734,0.65,0.37, S 
7,0.4366,0.3822,0.65,0.34, S 
7,0.4226,0.4218,0.65,0.32, S 
7,0.4258,0.3816,0.63,0.34, S 
7,0.4123,0.417,0.69,0.33, FB 
7,0.3896,0.4004,0.7,0.35, FEx0.412y0.417d0.085 
7,0.4058,0.3894,0.65,0.33, S 
7,0.4981,0.4069,0.62,0.39, S 
7,0.5887,0.4289,0.59,0.41, S 
8,0.6092,0.4057,0.64,0.43, FB 
8,0.6001,0.4073,0.66,0.45, NA 
8,0.5402,0.4317,0.63,0.36, FEx0.605y0.406d0.214 
8,0.4927,0.4796,0.66,0.32, S 
8,0.4846,0.4453,0.66,0.34, S 
8,0.6389,0.3741,0.57,0.37, S 
8,0.64,0.3647,0.54,0.39, FB 
8,0.6683,0.3443,0.71,0.35, FEx0.640y0.365d0.124 
9,0.4334,0.5219,0.76,0.36, S 
9,0.5621,0.4371,0.58,0.37, S 
9,0.5515,0.3971,0.61,0.39, S 
9,0.6779,0.3247,0.55,0.37, S 
9,0.6268,0.3921,0.54,0.42, S 
9,0.6105,0.418,0.6,0.43, S 
9,0.5889,0.4418,0.6,0.38, S 
9,0.5557,0.4372,0.57,0.37, S 
9,0.5524,0.4047,0.56,0.38, S 
