 Timestamp , Gazepoint X , Gazepoint Y , Pupil area (right) sq mm , Pupil area (left) sq mm , Eye event 
1,0.4164,0.6745,0.41,0.44, S 
1,0.4379,0.636,0.41,0.46, S 
1,0.4651,0.6594,0.39,0.47, S 
1,0.4774,0.654,0.41,0.49, S 
1,0.4795,0.6474,0.42,0.48, S 
1,0.4838,0.6262,0.43,0.49, S 
1,0.5126,0.6161,0.42,0.5, S 
1,0.5092,0.5841,0.47,0.51, S 
1,0.5326,0.7584,0.45,0.54, S 
1,0.5539,0.7501,0.44,0.58, S 
2,0.5743,0.7763,0.44,0.51, S 
2,0.5039,0.5374,0.45,0.51, S 
2,0.5077,0.5497,0.45,0.52, FB 
2,0.5023,0.5701,0.45,0.51, NA 
2,0.4987,0.543,0.44,0.54, FEx0.505y0.560d0.198 
2,0.5245,0.5882,0.45,0.49, S 
2,0.5096,0.5886,0.43,0.51, S 
2,0.4516,0.4727,0.44,0.48, S 
2,0.4827,0.5613,0.4,0.46, S 
3,0.4942,0.6047,0.47,0.56, S 
3,0.5298,0.9489,0.28,0.51, S 
3,0.58,0.941,0.35,0.42, BE 
3,0.4789,0.1541,0.36,0.4, S 
3,0.4707,0.2187,0.34,0.46, S 
4,0.501,0.2456,0.32,0.45, S 
4,0.5243,0.2454,0.32,0.46, S 
4,0.5125,0.2731,0.33,0.44, S 
4,0.5097,0.2943,0.41,0.47, S 
4,0.4292,0.6655,0.42,0.45, S 
4,0.4858,0.6419,0.41,0.44, S 
4,0.4961,0.622,0.38,0.47, S 
4,0.5202,0.6321,0.4,0.48, S 
4,0.5261,0.7312,0.44,0.54, S 
5,0.5127,0.6588,0.45,0.54, S 
5,0.5386,0.7203,0.44,0.56, S 
5,0.5505,0.6096,0.45,0.55, S 
5,0.6013,0.5559,0.42,0.53, S 
5,0.6179,0.5843,0.42,0.55, S 
5,0.6485,0.615,0.4,0.59, S 
5,0.652,0.6531,0.39,0.57, S 
5,0.657,0.6392,0.41,0.57, FB 
5,0.6326,0.6075,0.4,0.59, FEx0.657y0.639d0.125 
6,0.6231,0.6132,0.41,0.58, S 
6,0.6119,0.611,0.51,0.51, S 
6,0.4926,0.6538,0.46,0.49, S 
6,0.4957,0.6843,0.49,0.48, S 
6,0.4962,0.6592,0.47,0.46, FB 
6,0.4919,0.6666,0.47,0.47, NA 
6,0.474,0.6466,0.47,0.47, FEx0.494y0.663d0.219 
6,0.5006,0.5376,0.46,0.49, S 
6,0.4709,0.5455,0.47,0.5, FB 
7,0.4848,0.5303,0.47,0.5, NA 
7,0.5341,0.5447,0.45,0.5, FEx0.478y0.538d0.201 
7,0.5103,0.549,0.47,0.52, S 
7,0.5394,0.5634,0.45,0.53, S 
7,0.5252,0.6746,0.48,0.59, S 
8,0.4074,0.4393,0.39,0.56, S 
8,0.6632,0.5293,0.47,0.59, S 
8,0.6069,0.5707,0.43,0.61, S 
8,0.5061,0.5763,0.45,0.52, S 
8,0.5319,0.5709,0.41,0.49, S 
8,0.5285,0.5713,0.4,0.48, S 
9,0.4642,0.7962,0.4,0.5, S 
9,0.4845,0.7382,0.39,0.45, S 
9,0.4989,0.7191,0.42,0.48, S 
9,0.5094,0.6785,0.4,0.49, S 
9,0.5232,0.6797,0.44,0.54, S 
9,0.5152,0.6241,0.46,0.5, S 
9,0.5357,0.6662,0.45,0.51, S 
9,0.5209,0.6535,0.45,0.51, S 
9,0.5207,0.5489,0.43,0.53, S 
