 Timestamp , Gazepoint X , Gazepoint Y , Pupil area (right) sq mm , Pupil area (left) sq mm , Eye event 
1,0.5182,0.4902,0.35,0.45, NA 
1,0.5283,0.5009,0.34,0.43, FEx0.503y0.499d0.730 
1,0.56,0.4926,0.33,0.57, S 
1,0.5661,0.5114,0.23,0.31, S 
1,0.5745,0.5259,0.39,0.38, S 
2,0.5835,0.49,0.33,0.26, S 
2,0.6141,0.5029,0.26,0.37, S 
2,0.6281,0.5125,0.32,0.25, S 
3,0.6387,0.4969,0.29,0.33, FB 
3,0.614,0.5147,0.34,0.28, FEx0.639y0.497d0.189 
3,0.5993,0.5253,0.51,0.18, S 
3,0.4343,0.5211,0.54,0.38, S 
4,0.437,0.5196,0.39,0.34, S 
4,0.4457,0.5249,0.36,0.2, FB 
4,0.4435,0.5305,0.36,0.22, FEx0.446y0.525d0.176 
4,0.4803,0.5259,0.28,0.24, S 
4,0.4824,0.5315,0.4,0.14, S 
5,0.4778,0.5505,0.39,0.15, S 
5,0.4798,0.5184,0.45,0.23, S 
5,0.4969,0.5202,0.45,0.24, S 
6,0.5016,0.5362,0.47,0.36, S 
6,0.5113,0.5169,0.45,0.49, S 
6,0.507,0.5205,0.45,0.52, FB 
6,0.532,0.5413,0.44,0.57, NA 
6,0.5443,0.5496,0.45,0.57, NA 
6,0.5547,0.5406,0.4,0.62, FEx0.528y0.537d0.455 
7,0.5621,0.5322,0.4,0.62, FB 
7,0.5667,0.5189,0.35,0.62, NA 
7,0.5677,0.5002,0.35,0.62, NA 
7,0.5621,0.4974,0.38,0.45, FEx0.565y0.517d0.525 
7,0.5572,0.504,0.38,0.45, FB 
7,0.5993,0.5028,0.33,0.28, FEx0.557y0.504d0.211 
8,0.5867,0.4896,0.3,0.4, S 
8,0.5944,0.5031,0.29,0.41, S 
8,0.6038,0.5119,0.32,0.36, FB 
8,0.6,0.5036,0.32,0.27, NA 
8,0.6057,0.5099,0.29,0.27, NA 
9,0.6187,0.5246,0.3,0.42, FEx0.603y0.508d0.586 
9,0.6237,0.5323,0.36,0.5, S 
9,0.6277,0.5321,0.3,0.38, S 
9,0.6363,0.524,0.34,0.42, FB 
9,0.6416,0.5183,0.31,0.35, NA 
