 Timestamp , Gazepoint X , Gazepoint Y , Pupil area (right) sq mm , Pupil area (left) sq mm , Eye event 
1,0.5434,0.5838,0.29,0.79, S 
1,0.5479,0.5738,0.29,0.82, FB 
1,0.5521,0.5473,0.3,0.86, NA 
1,0.5505,0.5567,0.3,0.84, NA 
1,0.5543,0.5565,0.3,0.84, NA 
1,0.5586,0.5628,0.29,0.85, NA 
1,0.5621,0.5725,0.29,0.85, NA 
1,0.5642,0.5732,0.29,0.85, NA 
1,0.5682,0.5887,0.29,0.85, FEx0.555y0.563d0.556 
1,0.5551,0.5398,0.31,0.85, S 
1,0.545,0.5038,0.29,0.75, S 
1,0.482,0.3274,0.29,0.74, S 
2,0.4673,0.2366,0.28,0.74, S 
2,0.4753,0.2479,0.26,0.71, S 
2,0.4973,0.2926,0.25,0.64, S 
2,0.5052,0.2469,0.24,0.66, S 
2,0.5007,0.2365,0.23,0.65, S 
2,0.4934,0.1547,0.22,0.57, S 
2,0.5012,0.2163,0.22,0.57, S 
2,0.4888,0.1782,0.19,0.53, S 
2,0.4978,0.1605,0.18,0.5, S 
2,0.5513,0.7419,0.2,0.54, BE 
3,0.4295,0.7912,0.25,0.52, S 
3,0.3996,0.783,0.21,0.73, S 
3,0.4371,0.5587,0.24,0.71, S 
3,0.5243,0.5404,0.25,0.65, S 
4,0.6684,0.5299,0.2,0.52, S 
4,0.4686,0.2539,0.21,0.53, S 
4,0.4713,0.2524,0.21,0.56, S 
4,0.4858,0.2543,0.22,0.59, S 
4,0.4946,0.2528,0.24,0.65, S 
4,0.5101,0.615,0.24,0.62, S 
4,0.5107,0.636,0.25,0.63, S 
4,0.5182,0.6054,0.26,0.62, S 
4,0.5044,0.5924,0.26,0.68, S 
4,0.4983,0.617,0.26,0.7, S 
4,0.5283,0.4943,0.28,0.73, S 
5,0.511,0.4999,0.29,0.74, S 
5,0.4998,0.4829,0.26,0.73, S 
5,0.5107,0.4831,0.27,0.72, S 
5,0.5181,0.4288,0.28,0.76, S 
5,0.5286,0.4049,0.27,0.74, S 
5,0.536,0.3382,0.27,0.75, S 
5,0.5268,0.2805,0.26,0.75, S 
5,0.5022,0.2834,0.25,0.74, S 
5,0.4953,0.2729,0.24,0.71, S 
6,0.4637,0.3014,0.24,0.71, S 
6,0.4653,0.28,0.25,0.72, S 
6,0.4517,0.2926,0.24,0.72, S 
6,0.4392,0.3001,0.25,0.68, S 
6,0.4241,0.294,0.26,0.67, S 
6,0.4206,0.2885,0.26,0.67, FB 
6,0.442,0.2515,0.24,0.69, FEx0.421y0.288d0.107 
6,0.4424,0.2369,0.24,0.68, S 
6,0.4553,0.2506,0.23,0.64, S 
6,0.4615,0.2646,0.24,0.63, FB 
6,0.4722,0.2728,0.25,0.61, FEx0.461y0.265d0.084 
7,0.4889,0.2741,0.24,0.65, S 
7,0.436,0.3172,0.25,0.63, S 
7,0.436,0.3081,0.25,0.62, S 
7,0.4443,0.3188,0.24,0.62, S 
7,0.4557,0.249,0.22,0.62, S 
7,0.4717,0.1585,0.21,0.59, S 
7,0.481,0.1716,0.2,0.56, S 
7,0.4896,0.1423,0.2,0.5, S 
7,0.5119,0.1848,0.17,0.49, S 
8,0.5272,0.6635,0.22,0.55, S 
8,0.5554,0.6891,0.2,0.58, S 
8,0.4806,0.2456,0.2,0.59, S 
8,0.5002,0.2638,0.21,0.58, S 
8,0.5163,0.2568,0.22,0.6, S 
8,0.5351,0.4108,0.22,0.64, S 
9,0.5323,0.3781,0.23,0.61, S 
9,0.5376,0.3878,0.23,0.65, S 
9,0.5231,0.4628,0.24,0.63, S 
9,0.5088,0.4799,0.25,0.64, S 
9,0.5031,0.5046,0.25,0.65, S 
9,0.4802,0.5212,0.25,0.72, S 
9,0.4586,0.4833,0.27,0.76, S 
9,0.4466,0.4518,0.28,0.74, S 
9,0.461,0.4435,0.29,0.75, S 
