 Timestamp , Gazepoint X , Gazepoint Y , Pupil area (right) sq mm , Pupil area (left) sq mm , Eye event 
1,0.6398,0.5131,0.31,0.35, NA 
1,0.6365,0.5075,0.39,0.17, FEx0.639y0.519d0.540 
1,0.4124,0.531,0.53,0.38, S 
1,0.4208,0.544,0.56,0.37, FB 
1,0.4416,0.5529,0.55,0.39, FEx0.421y0.544d0.198 
1,0.4478,0.5486,0.55,0.42, FB 
2,0.451,0.5442,0.58,0.42, FEx0.448y0.549d0.164 
2,0.4484,0.5332,0.59,0.38, FB 
2,0.4444,0.5273,0.56,0.44, NA 
2,0.4479,0.5236,0.51,0.26, FEx0.446y0.530d0.377 
2,0.4699,0.526,0.47,0.32, S 
3,0.4893,0.5288,0.57,0.38, FB 
3,0.4994,0.5188,0.48,0.3, FEx0.489y0.529d0.113 
3,0.503,0.5144,0.51,0.32, FB 
3,0.5095,0.5163,0.54,0.29, NA 
3,0.5157,0.5354,0.62,0.48, FEx0.506y0.515d0.408 
4,0.5173,0.5286,0.61,0.47, S 
4,0.5187,0.5202,0.65,0.54, FB 
4,0.5224,0.5168,0.47,0.63, FEx0.519y0.520d0.284 
4,0.5254,0.526,0.49,0.53, FB 
5,0.5262,0.5322,0.49,0.53, NA 
5,0.5354,0.5293,0.44,0.61, FEx0.526y0.529d0.544 
5,0.5385,0.5231,0.45,0.6, FB 
5,0.5512,0.5249,0.45,0.51, FEx0.538y0.523d0.153 
5,0.5595,0.5269,0.45,0.51, FB 
6,0.5754,0.5263,0.41,0.5, FEx0.559y0.527d0.141 
6,0.5878,0.5136,0.41,0.5, FB 
6,0.6015,0.5102,0.44,0.44, FEx0.588y0.514d0.231 
6,0.6078,0.52,0.44,0.46, S 
6,0.607,0.5345,0.49,0.59, FB 
7,0.6127,0.5361,0.47,0.56, NA 
7,0.6223,0.5248,0.45,0.46, NA 
7,0.6245,0.5201,0.45,0.46, FEx0.614y0.532d0.588 
7,0.6193,0.5146,0.45,0.45, FB 
7,0.6078,0.5118,0.45,0.45, FEx0.619y0.515d0.126 
7,0.621,0.5083,0.43,0.47, FB 
8,0.6423,0.5043,0.59,0.45, FEx0.621y0.508d0.189 
8,0.4288,0.5406,0.71,0.5, S 
8,0.4344,0.5325,0.71,0.52, FB 
8,0.4432,0.5518,0.68,0.5, FEx0.434y0.533d0.202 
8,0.4515,0.5587,0.62,0.54, S 
9,0.4494,0.5404,0.56,0.39, FB 
9,0.4621,0.5272,0.47,0.27, NA 
9,0.4833,0.5368,0.3,0.24, FEx0.456y0.534d0.350 
9,0.5023,0.5431,0.39,0.19, S 
9,0.51,0.5389,0.38,0.21, FB 
