 Timestamp , Gazepoint X , Gazepoint Y , Pupil area (right) sq mm , Pupil area (left) sq mm , Eye event 
1,0.3489,0.1989,0.32,0.3, S 
1,0.3345,0.2056,0.33,0.27, S 
1,0.3355,0.2076,0.32,0.28, FB 
1,0.3442,0.191,0.33,0.27, NA 
1,0.342,0.1746,0.34,0.28, FEx0.340y0.199d0.189 
1,0.3356,0.1703,0.34,0.25, S 
1,0.3383,0.3286,0.37,0.34, S 
1,0.3355,0.3249,0.36,0.31, S 
1,0.3435,0.3314,0.37,0.31, FB 
1,0.3451,0.3817,0.39,0.33, FEx0.343y0.331d0.087 
1,0.3575,0.3751,0.37,0.36, FB 
2,0.3605,0.3513,0.37,0.39, FEx0.358y0.375d0.103 
2,0.2778,0.388,0.37,0.36, S 
2,0.2793,0.4004,0.38,0.34, S 
2,0.2842,0.4126,0.39,0.38, S 
2,0.2554,0.4088,0.37,0.38, S 
2,0.2699,0.4006,0.38,0.34, S 
2,0.2549,0.5755,0.24,0.27, S 
2,0.2453,0.702,0.34,0.43, S 
2,0.2108,0.2847,0.33,0.35, S 
3,0.1624,0.3718,0.3,0.27, S 
3,0.129,0.3762,0.33,0.28, S 
3,0.148,0.2931,0.37,0.32, S 
3,0.143,0.4141,0.34,0.31, S 
3,0.1407,0.4875,0.4,0.27, S 
4,0.1885,0.3561,0.37,0.32, S 
4,0.2011,0.3362,0.36,0.36, S 
4,0.2528,0.3302,0.37,0.34, S 
4,0.2806,0.3451,0.4,0.27, S 
4,0.1973,0.3503,0.33,0.31, S 
4,0.1288,0.3942,0.35,0.28, S 
4,0.1731,0.3697,0.27,0.26, S 
4,0.1694,0.2948,0.27,0.23, S 
4,0.2005,0.2788,0.29,0.24, S 
4,0.1179,0.449,0.27,0.25, S 
5,0.1269,0.6012,0.29,0.26, S 
5,0.119,0.7441,0.38,0.36, BE 
5,0.6994,0.1837,0.36,0.37, S 
5,0.6618,0.161,0.31,0.37, S 
5,0.6337,0.1174,0.31,0.34, S 
5,0.5063,-0.002,0.32,0.3, S 
6,0.5118,0.0068,0.29,0.26, S 
6,0.4891,-0.0131,0.33,0.32, S 
6,0.3817,0.3556,0.33,0.33, S 
6,0.3892,0.3391,0.32,0.31, S 
6,0.3896,0.341,0.29,0.32, S 
6,0.5937,0.5175,0.29,0.32, S 
6,0.6019,0.4957,0.32,0.35, S 
6,0.6758,0.3668,0.33,0.38, S 
6,0.7113,0.2433,0.29,0.33, S 
6,0.7312,0.2298,0.34,0.33, S 
6,0.7569,0.1887,0.32,0.34, S 
7,0.4778,0.3486,0.38,0.39, S 
7,0.4862,0.3764,0.39,0.38, S 
7,0.4452,0.3217,0.38,0.38, S 
7,0.4535,0.3319,0.38,0.39, S 
7,0.3984,0.156,0.34,0.34, S 
7,0.4184,0.1817,0.33,0.32, S 
7,0.4213,0.0954,0.32,0.28, S 
7,0.4116,0.0739,0.25,0.24, S 
7,0.4054,0.0401,0.26,0.25, S 
8,0.4369,0.2564,0.22,0.21, S 
8,0.5626,0.434,0.24,0.2, S 
8,0.5878,0.4746,0.24,0.23, S 
8,0.6309,0.5388,0.22,0.29, S 
8,0.4947,0.5304,0.31,0.28, S 
8,0.4832,0.5196,0.31,0.27, S 
8,0.4767,0.5427,0.33,0.28, S 
9,0.4685,0.5492,0.34,0.33, BE 
9,0.5193,0.2939,0.34,0.33, S 
9,0.4716,0.326,0.39,0.37, S 
9,0.3891,0.2235,0.35,0.3, S 
9,0.3736,0.2806,0.32,0.34, S 
9,0.4181,0.3496,0.37,0.38, S 
9,0.4262,0.3172,0.38,0.39, S 
9,0.5167,0.3267,0.34,0.37, S 
