 Timestamp , Gazepoint X , Gazepoint Y , Pupil area (right) sq mm , Pupil area (left) sq mm , Eye event 
1,0.4512,0.6199,0.18,0.47, NA 
1,0.458,0.6461,0.18,0.44, NA 
1,0.4216,0.8067,0.17,0.45, NA 
1,0.4203,0.775,0.17,0.44, NA 
1,0.4205,0.7764,0.16,0.43, NA 
1,0.4441,0.7889,0.17,0.4, NA 
1,0.4321,0.7816,0.18,0.44, NA 
1,0.4278,0.779,0.13,0.4, NA 
1,0.5974,0.3812,0.14,0.37, NA 
1,0.6082,0.255,0.12,0.29, NA 
2,0.6324,0.0868,0.11,0.33, NA 
2,0.6049,0.1302,0.1,0.27, NA 
2,0.6144,0.1655,0.11,0.27, NA 
2,0.6179,0.1424,0.12,0.28, NA 
2,0.6258,0.1819,0.11,0.29, NA 
2,0.6242,0.1686,0.11,0.3, NA 
2,0.5662,0.2736,0.14,0.26, NA 
2,0.5364,0.3654,0.13,0.29, NA 
2,0.5465,0.4127,0.12,0.29, NA 
2,0.5585,0.408,0.13,0.3, NA 
3,0.5511,0.4294,0.11,0.28, NA 
3,0.5782,0.545,0.15,0.34, NA 
3,0.5885,0.5379,0.15,0.37, NA 
3,0.5818,0.5301,0.15,0.38, NA 
3,0.5587,0.5411,0.17,0.41, NA 
3,0.5468,0.4574,0.15,0.38, NA 
4,0.5334,0.3983,0.16,0.34, NA 
4,0.5084,0.7109,0.18,0.36, NA 
4,0.5349,0.7745,0.15,0.34, NA 
4,0.5223,0.7549,0.15,0.33, NA 
4,0.5176,0.757,0.12,0.29, NA 
4,0.5895,0.356,0.13,0.29, NA 
4,0.5758,0.3742,0.12,0.33, NA 
5,0.58,0.4051,0.11,0.33, NA 
5,0.5725,0.402,0.13,0.31, NA 
5,0.5859,0.4441,0.16,0.37, NA 
5,0.6176,0.4522,0.13,0.35, NA 
5,0.6198,0.4514,0.14,0.34, NA 
5,0.5726,0.2491,0.15,0.35, NA 
5,0.5646,0.2796,0.17,0.34, NA 
5,0.5626,0.2627,0.15,0.39, NA 
6,0.5529,0.2583,0.15,0.36, NA 
6,0.6028,0.1125,0.14,0.3, NA 
6,0.572,0.1206,0.16,0.31, NA 
6,0.5722,0.1267,0.14,0.33, NA 
6,0.5831,0.1256,0.14,0.28, NA 
6,0.5909,0.1462,0.14,0.32, NA 
6,0.5985,0.1609,0.16,0.38, NA 
6,0.5631,0.4772,0.16,0.37, NA 
6,0.5699,0.4918,0.16,0.36, NA 
6,0.5568,0.4979,0.15,0.35, NA 
7,0.5572,0.5843,0.15,0.34, NA 
7,0.5467,0.5376,0.15,0.36, NA 
7,0.5369,0.4824,0.14,0.36, NA 
7,0.5428,0.5034,0.17,0.39, NA 
7,0.5043,0.6331,0.18,0.45, NA 
7,0.5044,0.6774,0.18,0.45, NA 
7,0.5168,0.699,0.18,0.39, NA 
7,0.4923,0.6806,0.17,0.42, NA 
7,0.4836,0.6538,0.17,0.43, NA 
7,0.496,0.6434,0.17,0.46, NA 
8,0.4866,0.6338,0.18,0.45, NA 
8,0.4814,0.6232,0.11,0.36, NA 
8,0.5972,0.4473,0.11,0.31, NA 
8,0.523,0.3337,0.1,0.29, NA 
8,0.5307,0.4034,0.12,0.28, NA 
8,0.5306,0.404,0.13,0.28, NA 
8,0.5501,0.3061,0.12,0.3, NA 
8,0.5731,0.2894,0.11,0.3, NA 
9,0.5722,0.3054,0.12,0.34, NA 
9,0.6158,0.3493,0.12,0.29, NA 
9,0.6226,0.3549,0.12,0.28, NA 
9,0.633,0.3915,0.12,0.29, NA 
9,0.5678,0.4254,0.14,0.32, NA 
9,0.5732,0.4272,0.14,0.33, NA 
9,0.5867,0.5087,0.16,0.36, NA 
9,0.5714,0.5111,0.16,0.36, NA 
9,0.5562,0.4989,0.16,0.37, NA 
