 Timestamp , Gazepoint X , Gazepoint Y , Pupil area (right) sq mm , Pupil area (left) sq mm , Eye event 
1,0.9429,0.5635,0.22,0.75, FEx0.822y0.712d0.198 
1,1.0364,0.4492,0.49,0.24, S 
1,1.0364,0.4492,0.36,0.16, S 
1,0.2331,0.7219,0.31,0.22, FB 
1,0.2215,0.7486,0.32,0.27, NA 
1,0.1831,0.7763,0.59,0.34, FEx0.227y0.735d0.273 
1,0.5123,0.7521,0.45,0.45, S 
2,0.6183,0.7262,0.31,0.33, S 
2,0.7376,0.7004,0.24,0.16, FB 
2,0.8256,0.7194,0.23,0.16, FEx0.738y0.700d0.156 
2,0.8321,0.7175,0.22,0.13, FB 
2,0.829,0.7208,0.22,0.1, NA 
2,0.8886,0.6331,0.22,0.07, FEx0.831y0.719d0.297 
2,0.9063,0.6488,0.24,0.03, FB 
3,0.886,0.6591,0.25,0.16, FEx0.906y0.649d0.181 
3,0.8178,0.6351,0.32,0.17, S 
3,0.7639,0.6118,0.6,0.31, S 
3,0.2606,0.7801,0.34,0.23, S 
3,0.3393,0.7974,0.35,0.31, S 
4,0.3184,0.7555,0.34,0.31, FB 
4,0.4255,0.7758,0.42,0.31, S 
4,0.5439,0.7933,0.32,0.31, S 
4,0.5276,0.7722,0.29,0.29, S 
4,0.6731,0.7564,0.22,0.27, S 
5,0.6494,0.7397,0.24,0.24, S 
5,0.728,0.7194,0.2,0.21, S 
5,0.7277,0.7469,0.15,0.13, FB 
5,0.8174,0.7357,0.09,0.14, FEx0.728y0.747d0.138 
5,0.829,0.7504,0.09,0.09, FB 
5,0.8972,0.6528,0.06,0.27, FEx0.829y0.750d0.353 
6,0.9548,0.5833,0.24,0.23, S 
6,0.3015,0.7923,0.4,0.31, S 
6,0.3137,0.8117,0.3,0.33, S 
6,0.3708,0.8322,0.29,0.28, S 
6,0.3977,0.8127,0.33,0.25, S 
7,0.4278,0.8044,0.24,0.21, BE 
7,0.4771,0.7841,0.27,0.22, S 
7,0.499,0.7729,0.23,0.22, FB 
7,0.5088,0.7414,0.29,0.21, FEx0.499y0.773d0.112 
7,0.5061,0.7194,0.27,0.19, FB 
7,0.5206,0.6951,0.28,0.19, NA 
7,0.6235,0.7303,0.25,0.24, FEx0.513y0.707d0.336 
8,0.714,0.721,0.21,0.17, S 
8,0.7059,0.6965,0.2,0.13, FB 
8,0.8065,0.6863,0.17,0.14, FEx0.706y0.696d0.180 
8,0.8608,0.6655,0.14,0.1, S 
8,0.9288,0.5997,0.17,0.04, S 
8,0.9236,0.5735,0.15,0.31, S 
8,0.938,0.5432,0.37,0.09, S 
9,0.2409,0.7487,0.32,0.2, S 
9,0.255,0.7497,0.28,0.24, FB 
9,0.2453,0.7746,0.32,0.23, NA 
9,0.2931,0.7909,0.32,0.3, FEx0.250y0.762d0.223 
9,0.2793,0.7331,0.2,0.29, S 
